spring_displacement,mag2,interpolated_tension
0,408,0
0.0398406,407,0.10996
0.0798239,407,0.221507
0.119952,407,0.334663
0.160235,407,0.449271
0.200692,408,0.565006
0.241375,410,0.682988
0.282216,410,0.802715
0.323232,411,0.924231
0.364421,412,1.04726
0.405777,412,1.17156
0.44734,412,1.29791
0.489098,413,1.42642
0.53105,414,1.55688
0.573184,415,1.68926
0.615506,416,1.82362
0.658027,418,1.96001
0.70073,419,2.0984
0.743686,419,2.23929
0.786831,420,2.38301
0.830191,425,2.52844
0.873755,426,2.67577
0.917531,427,2.82566
0.961528,428,2.97835
1.00573,429,3.1333
1.05018,427,3.29064
1.09486,427,3.4506
1.13979,428,3.61385
1.18495,430,3.7803
1.23035,431,3.94949
1.27598,432,4.12122
1.32185,433,4.2959
1.36796,435,4.4737
1.41435,436,4.65484
1.46101,437,4.84005
1.50792,438,5.02798
1.55508,439,5.21891
1.60253,440,5.41452
1.65024,441,5.61302
1.69827,442,5.81667
1.74657,442,6.02332
1.79514,443,6.23481
1.84403,444,6.44974
1.89325,445,6.66977
1.94272,445,6.89482
1.99256,446,7.1238
2.04268,446,7.35773
2.09313,447,7.59644
2.14395,447,7.84083
2.19509,448,8.09093
2.24655,448,8.34589
2.29834,449,8.60664
2.35053,446,8.87373
2.40312,447,9.14747
2.45602,447,9.42725
2.50933,448,9.71378
2.56307,449,10.0074
2.61717,453,10.3085
2.67166,453,10.6165
2.72657,454,10.9326
2.78191,455,11.2573
2.83765,455,11.5892
2.89386,456,11.9306
2.95051,456,12.2812
