spring_displacement,mag2,interpolated_tension
0,496,0
0.0398406,494,0.10996
0.0798239,494,0.221507
0.119952,494,0.334663
0.160235,495,0.449271
0.200692,496,0.565006
0.241375,497,0.682988
0.282216,498,0.802715
0.323232,498,0.924231
0.364421,499,1.04726
0.405777,499,1.17156
0.44734,501,1.29791
0.489098,503,1.42642
0.53105,504,1.55688
0.573184,506,1.68926
0.615506,507,1.82362
0.658027,507,1.96001
0.70073,506,2.0984
0.743686,508,2.23929
0.786831,510,2.38301
0.830191,512,2.52844
0.873755,511,2.67577
0.917531,513,2.82566
0.961528,513,2.97835
1.00573,514,3.1333
1.05018,514,3.29064
1.09486,519,3.4506
1.13979,522,3.61385
1.18495,524,3.7803
1.23035,528,3.94949
1.27598,530,4.12122
1.32185,533,4.2959
1.36796,534,4.4737
1.41435,537,4.65484
1.46101,540,4.84005
1.50792,543,5.02798
1.55508,545,5.21891
1.60253,548,5.41452
1.65024,552,5.61302
1.69827,553,5.81667
1.74657,556,6.02332
1.79514,558,6.23481
1.84403,560,6.44974
1.89325,562,6.66977
1.94272,564,6.89482
1.99256,565,7.1238
2.04268,567,7.35773
2.09313,568,7.59644
2.14395,569,7.84083
2.19509,571,8.09093
2.24655,572,8.34589
2.29834,572,8.60664
2.35053,573,8.87373
2.40312,575,9.14747
2.45602,576,9.42725
2.50933,579,9.71378
2.56307,581,10.0074
2.61717,581,10.3085
2.67166,583,10.6165
2.72657,585,10.9326
2.78191,587,11.2573
2.83765,589,11.5892
2.89386,591,11.9306
2.95051,591,12.2812
