spring_displacement,mag2,interpolated_tension
0,213,0
0.0398406,213,0.10996
0.0798239,213,0.221507
0.119952,213,0.334663
0.160235,213,0.449271
0.200692,213,0.565006
0.241375,214,0.682988
0.282216,214,0.802715
0.323232,214,0.924231
0.364421,214,1.04726
0.405777,215,1.17156
0.44734,214,1.29791
0.489098,214,1.42642
0.53105,215,1.55688
0.573184,216,1.68926
0.615506,216,1.82362
0.658027,218,1.96001
0.70073,219,2.0984
0.743686,220,2.23929
0.786831,220,2.38301
0.830191,221,2.52844
0.873755,221,2.67577
0.917531,221,2.82566
0.961528,221,2.97835
1.00573,222,3.1333
1.05018,223,3.29064
1.09486,223,3.4506
1.13979,224,3.61385
1.18495,224,3.7803
1.23035,225,3.94949
1.27598,225,4.12122
1.32185,226,4.2959
1.36796,227,4.4737
1.41435,228,4.65484
1.46101,228,4.84005
1.50792,229,5.02798
1.55508,230,5.21891
1.60253,230,5.41452
1.65024,231,5.61302
1.69827,232,5.81667
1.74657,233,6.02332
1.79514,234,6.23481
1.84403,234,6.44974
1.89325,235,6.66977
1.94272,235,6.89482
1.99256,235,7.1238
2.04268,235,7.35773
2.09313,236,7.59644
2.14395,236,7.84083
2.19509,237,8.09093
2.24655,238,8.34589
2.29834,238,8.60664
2.35053,240,8.87373
2.40312,240,9.14747
2.45602,241,9.42725
2.50933,241,9.71378
2.56307,241,10.0074
2.61717,242,10.3085
2.67166,243,10.6165
2.72657,244,10.9326
2.78191,246,11.2573
2.83765,247,11.5892
2.89386,247,11.9306
2.95051,247,12.2812
