spring_displacement,mag2,interpolated_tension
0,263,0
0.0398406,263,0.10996
0.0798239,263,0.221507
0.119952,263,0.334663
0.160235,263,0.449271
0.200692,263,0.565006
0.241375,263,0.682988
0.282216,264,0.802715
0.323232,264,0.924231
0.364421,265,1.04726
0.405777,265,1.17156
0.44734,266,1.29791
0.489098,267,1.42642
0.53105,268,1.55688
0.573184,268,1.68926
0.615506,268,1.82362
0.658027,268,1.96001
0.70073,269,2.0984
0.743686,270,2.23929
0.786831,271,2.38301
0.830191,271,2.52844
0.873755,272,2.67577
0.917531,273,2.82566
0.961528,273,2.97835
1.00573,274,3.1333
1.05018,275,3.29064
1.09486,276,3.4506
1.13979,277,3.61385
1.18495,278,3.7803
1.23035,279,3.94949
1.27598,280,4.12122
1.32185,280,4.2959
1.36796,281,4.4737
1.41435,281,4.65484
1.46101,282,4.84005
1.50792,283,5.02798
1.55508,284,5.21891
1.60253,284,5.41452
1.65024,285,5.61302
1.69827,286,5.81667
1.74657,287,6.02332
1.79514,287,6.23481
1.84403,288,6.44974
1.89325,289,6.66977
1.94272,289,6.89482
1.99256,290,7.1238
2.04268,291,7.35773
2.09313,292,7.59644
2.14395,292,7.84083
2.19509,293,8.09093
2.24655,294,8.34589
2.29834,292,8.60664
2.35053,293,8.87373
2.40312,294,9.14747
2.45602,295,9.42725
2.50933,295,9.71378
2.56307,299,10.0074
2.61717,300,10.3085
2.67166,301,10.6165
2.72657,302,10.9326
2.78191,304,11.2573
2.83765,304,11.5892
2.89386,305,11.9306
2.95051,307,12.2812
