spring_displacement,mag2,interpolated_tension
0,444,0
0.0398406,444,0.10996
0.0798239,444,0.221507
0.119952,445,0.334663
0.160235,444,0.449271
0.200692,445,0.565006
0.241375,445,0.682988
0.282216,446,0.802715
0.323232,446,0.924231
0.364421,447,1.04726
0.405777,447,1.17156
0.44734,447,1.29791
0.489098,447,1.42642
0.53105,448,1.55688
0.573184,449,1.68926
0.615506,449,1.82362
0.658027,449,1.96001
0.70073,450,2.0984
0.743686,451,2.23929
0.786831,451,2.38301
0.830191,451,2.52844
0.873755,452,2.67577
0.917531,453,2.82566
0.961528,454,2.97835
1.00573,454,3.1333
1.05018,455,3.29064
1.09486,455,3.4506
1.13979,456,3.61385
1.18495,456,3.7803
1.23035,456,3.94949
1.27598,457,4.12122
1.32185,457,4.2959
1.36796,458,4.4737
1.41435,458,4.65484
1.46101,459,4.84005
1.50792,459,5.02798
1.55508,460,5.21891
1.60253,460,5.41452
1.65024,460,5.61302
1.69827,460,5.81667
1.74657,460,6.02332
1.79514,461,6.23481
1.84403,461,6.44974
1.89325,462,6.66977
1.94272,462,6.89482
1.99256,462,7.1238
2.04268,462,7.35773
2.09313,460,7.59644
2.14395,460,7.84083
2.19509,461,8.09093
2.24655,462,8.34589
2.29834,463,8.60664
2.35053,464,8.87373
2.40312,465,9.14747
2.45602,465,9.42725
2.50933,465,9.71378
2.56307,466,10.0074
2.61717,466,10.3085
2.67166,466,10.6165
2.72657,466,10.9326
2.78191,470,11.2573
2.83765,473,11.5892
2.89386,477,11.9306
2.95051,482,12.2812
