spring_displacement,mag2,interpolated_tension
0,223,0
0.0398406,223,0.10996
0.0798239,223,0.221507
0.119952,223,0.334663
0.160235,226,0.449271
0.200692,226,0.565006
0.241375,226,0.682988
0.282216,226,0.802715
0.323232,227,0.924231
0.364421,224,1.04726
0.405777,225,1.17156
0.44734,225,1.29791
0.489098,226,1.42642
0.53105,226,1.55688
0.573184,226,1.68926
0.615506,227,1.82362
0.658027,229,1.96001
0.70073,229,2.0984
0.743686,230,2.23929
0.786831,230,2.38301
0.830191,230,2.52844
0.873755,230,2.67577
0.917531,230,2.82566
0.961528,231,2.97835
1.00573,232,3.1333
1.05018,233,3.29064
1.09486,234,3.4506
1.13979,235,3.61385
1.18495,235,3.7803
1.23035,236,3.94949
1.27598,236,4.12122
1.32185,236,4.2959
1.36796,236,4.4737
1.41435,237,4.65484
1.46101,238,4.84005
1.50792,238,5.02798
1.55508,239,5.21891
1.60253,241,5.41452
1.65024,241,5.61302
1.69827,241,5.81667
1.74657,242,6.02332
1.79514,242,6.23481
1.84403,242,6.44974
1.89325,243,6.66977
1.94272,244,6.89482
1.99256,243,7.1238
2.04268,244,7.35773
2.09313,244,7.59644
2.14395,244,7.84083
2.19509,245,8.09093
2.24655,247,8.34589
2.29834,248,8.60664
2.35053,249,8.87373
2.40312,250,9.14747
2.45602,250,9.42725
2.50933,251,9.71378
2.56307,252,10.0074
2.61717,253,10.3085
2.67166,254,10.6165
2.72657,255,10.9326
2.78191,256,11.2573
2.83765,256,11.5892
2.89386,256,11.9306
2.95051,258,12.2812
