spring_displacement,mag2,interpolated_tension
0,238,0
0.0398406,238,0.10996
0.0798239,238,0.221507
0.119952,238,0.334663
0.160235,238,0.449271
0.200692,238,0.565006
0.241375,238,0.682988
0.282216,239,0.802715
0.323232,240,0.924231
0.364421,240,1.04726
0.405777,240,1.17156
0.44734,241,1.29791
0.489098,241,1.42642
0.53105,241,1.55688
0.573184,242,1.68926
0.615506,243,1.82362
0.658027,243,1.96001
0.70073,244,2.0984
0.743686,244,2.23929
0.786831,244,2.38301
0.830191,245,2.52844
0.873755,245,2.67577
0.917531,246,2.82566
0.961528,248,2.97835
1.00573,249,3.1333
1.05018,249,3.29064
1.09486,250,3.4506
1.13979,251,3.61385
1.18495,251,3.7803
1.23035,252,3.94949
1.27598,252,4.12122
1.32185,252,4.2959
1.36796,253,4.4737
1.41435,254,4.65484
1.46101,254,4.84005
1.50792,255,5.02798
1.55508,256,5.21891
1.60253,257,5.41452
1.65024,258,5.61302
1.69827,259,5.81667
1.74657,259,6.02332
1.79514,260,6.23481
1.84403,261,6.44974
1.89325,261,6.66977
1.94272,262,6.89482
1.99256,262,7.1238
2.04268,262,7.35773
2.09313,263,7.59644
2.14395,263,7.84083
2.19509,264,8.09093
2.24655,265,8.34589
2.29834,266,8.60664
2.35053,267,8.87373
2.40312,268,9.14747
2.45602,269,9.42725
2.50933,270,9.71378
2.56307,271,10.0074
2.61717,270,10.3085
2.67166,270,10.6165
2.72657,270,10.9326
2.78191,271,11.2573
2.83765,272,11.5892
2.89386,274,11.9306
2.95051,275,12.2812
