spring_displacement,mag2,interpolated_tension
0,331,0
0.0398406,330,0.10996
0.0798239,330,0.221507
0.119952,330,0.334663
0.160235,332,0.449271
0.200692,332,0.565006
0.241375,332,0.682988
0.282216,333,0.802715
0.323232,334,0.924231
0.364421,333,1.04726
0.405777,334,1.17156
0.44734,335,1.29791
0.489098,336,1.42642
0.53105,337,1.55688
0.573184,337,1.68926
0.615506,338,1.82362
0.658027,339,1.96001
0.70073,340,2.0984
0.743686,341,2.23929
0.786831,342,2.38301
0.830191,342,2.52844
0.873755,343,2.67577
0.917531,343,2.82566
0.961528,343,2.97835
1.00573,344,3.1333
1.05018,345,3.29064
1.09486,346,3.4506
1.13979,348,3.61385
1.18495,349,3.7803
1.23035,350,3.94949
1.27598,351,4.12122
1.32185,352,4.2959
1.36796,354,4.4737
1.41435,356,4.65484
1.46101,357,4.84005
1.50792,358,5.02798
1.55508,359,5.21891
1.60253,360,5.41452
1.65024,361,5.61302
1.69827,362,5.81667
1.74657,363,6.02332
1.79514,364,6.23481
1.84403,364,6.44974
1.89325,365,6.66977
1.94272,365,6.89482
1.99256,366,7.1238
2.04268,367,7.35773
2.09313,369,7.59644
2.14395,369,7.84083
2.19509,371,8.09093
2.24655,372,8.34589
2.29834,374,8.60664
2.35053,375,8.87373
2.40312,377,9.14747
2.45602,377,9.42725
2.50933,377,9.71378
2.56307,378,10.0074
2.61717,380,10.3085
2.67166,382,10.6165
2.72657,382,10.9326
2.78191,383,11.2573
2.83765,383,11.5892
2.89386,384,11.9306
2.95051,384,12.2812
