spring_displacement,mag2,interpolated_tension
0,222,0
0.0398406,222,0.10996
0.0798239,222,0.221507
0.119952,222,0.334663
0.160235,222,0.449271
0.200692,222,0.565006
0.241375,222,0.682988
0.282216,223,0.802715
0.323232,223,0.924231
0.364421,224,1.04726
0.405777,224,1.17156
0.44734,222,1.29791
0.489098,223,1.42642
0.53105,224,1.55688
0.573184,224,1.68926
0.615506,225,1.82362
0.658027,228,1.96001
0.70073,227,2.0984
0.743686,228,2.23929
0.786831,228,2.38301
0.830191,229,2.52844
0.873755,229,2.67577
0.917531,230,2.82566
0.961528,230,2.97835
1.00573,231,3.1333
1.05018,231,3.29064
1.09486,231,3.4506
1.13979,232,3.61385
1.18495,233,3.7803
1.23035,233,3.94949
1.27598,234,4.12122
1.32185,234,4.2959
1.36796,235,4.4737
1.41435,236,4.65484
1.46101,236,4.84005
1.50792,237,5.02798
1.55508,238,5.21891
1.60253,238,5.41452
1.65024,239,5.61302
1.69827,240,5.81667
1.74657,241,6.02332
1.79514,242,6.23481
1.84403,242,6.44974
1.89325,243,6.66977
1.94272,244,6.89482
1.99256,244,7.1238
2.04268,244,7.35773
2.09313,245,7.59644
2.14395,245,7.84083
2.19509,246,8.09093
2.24655,246,8.34589
2.29834,246,8.60664
2.35053,247,8.87373
2.40312,248,9.14747
2.45602,247,9.42725
2.50933,248,9.71378
2.56307,250,10.0074
2.61717,250,10.3085
2.67166,250,10.6165
2.72657,252,10.9326
2.78191,252,11.2573
2.83765,252,11.5892
2.89386,254,11.9306
2.95051,255,12.2812
