motor_step_angle,spring_displacement
0.0,0.0
0.3431568425827078,1e-05
0.6860639684941152,2e-05
1.0287213857524091,3.0000000000000004e-05
1.3711291024831722,4e-05
1.7132871269073957,5e-05
2.05519546733256,6.000000000000001e-05
2.3968541321673342,7.000000000000001e-05
2.7382631299264815,8e-05
3.0794224692098595,9e-05
3.420332158716173,0.0001
3.7609922072475417,0.00011
4.101402623697549,0.00012000000000000002
4.441563417060156,0.00013000000000000002
4.781474596430211,0.00014000000000000001
5.121136170993498,0.00015000000000000001
5.460548150046395,0.00016
5.799710542970395,0.00017
6.1386233592552015,0.00018
6.47728660848541,0.00019
6.815700300355537,0.0002
7.153864444640807,0.00021
7.491779051236414,0.00022
7.829444130129279,0.00023
8.166859691403696,0.00024000000000000003
8.50402574525005,0.00025
8.840942301956934,0.00026000000000000003
9.177609371915683,0.00027
9.514026965623227,0.00028000000000000003
9.850195093674063,0.00029
10.186113766768477,0.00030000000000000003
10.52178299569978,0.00031
10.857202791376327,0.00032
11.192373164803898,0.00033000000000000005
11.527294127087101,0.00034
11.861965689447521,0.00035000000000000005
12.196387863199664,0.00036
12.530560659762383,0.00037000000000000005
12.864484090659737,0.00038
13.198158167530472,0.00039000000000000005
13.531582902100832,0.0004
13.86475830621694,0.00041000000000000005
14.197684391824167,0.00042
14.530361170974997,0.00043000000000000004
14.862788655825087,0.00044
15.194966858639559,0.00045000000000000004
15.526895791793313,0.00046
15.858575467760684,0.00047000000000000004
16.19000589912663,0.00048000000000000007
16.521187098585518,0.0004900000000000001
16.85211907893651,0.0005
17.182801853092634,0.00051
17.51323543406031,0.0005200000000000001
17.84341983497316,0.0005300000000000001
18.173355069066016,0.00054
18.50304114967374,0.00055
18.832478090258263,0.0005600000000000001
19.161665904381444,0.0005700000000000001
19.490604605708334,0.00058
19.81929420802771,0.00059
20.14773472523064,0.0006000000000000001
20.47592617132055,0.0006100000000000001
20.803868560414372,0.00062
21.131561906740675,0.00063
21.459006224635093,0.00064
21.786201528546556,0.0006500000000000001
22.113147833042042,0.0006600000000000001
22.43984515279217,0.00067
22.766293502591918,0.00068
23.092492897339163,0.0006900000000000001
23.418443352045806,0.0007000000000000001
23.74414488184324,0.00071
24.069597501976926,0.00072
24.394801227801082,0.0007300000000000001
24.719756074788496,0.0007400000000000001
25.044462058523198,0.00075
25.36891919471643,0.00076
25.693127499174153,0.0007700000000000001
26.0170869878377,0.0007800000000000001
26.34079767675692,0.00079
26.664259582097525,0.0008
26.98747272014236,0.0008100000000000001
27.31043710728957,0.0008200000000000001
27.63315276005555,0.0008300000000000001
27.955619695082717,0.00084
28.277837929123194,0.0008500000000000001
28.59980747904108,0.0008600000000000001
28.921528361835662,0.0008700000000000001
29.24300059461168,0.00088
29.56422419460162,0.0008900000000000001
29.885199179149446,0.0009000000000000001
30.20592556572586,0.0009100000000000001
30.52640337191983,0.00092
30.84663261543806,0.00093
31.166613314114986,0.0009400000000000001
31.48634548590125,0.0009500000000000001
31.805829148862028,0.0009600000000000001
32.1250643212013,0.00097
32.44405102122727,0.0009800000000000002
32.762789267383575,0.00099
33.08127907823336,0.001
33.39952047245698,0.00101
33.71751346886697,0.00102
34.035258086396176,0.00103
34.35275434409514,0.0010400000000000001
34.670002261145626,0.0010500000000000002
34.987001856857106,0.0010600000000000002
35.303753150656625,0.00107
35.62025616210245,0.00108
35.93651091087187,0.00109
36.252517416774246,0.0011
36.56827569974731,0.00111
36.883785779845915,0.0011200000000000001
37.19904767725912,0.0011300000000000001
37.51406141230417,0.0011400000000000002
37.828827005420884,0.0011500000000000002
38.14334447718552,0.00116
38.45761384828921,0.00117
38.771635139562854,0.00118
39.08540837196567,0.00119
39.398933566583764,0.0012000000000000001
39.712210744631946,0.0012100000000000001
40.02523992745593,0.0012200000000000002
40.33802113653068,0.0012300000000000002
40.65055439346911,0.00124
40.96283972000195,0.00125
41.27487713800824,0.00126
41.586666669485645,0.00127
41.898208336566434,0.00128
42.20950216151611,0.0012900000000000001
42.520548166741904,0.0013000000000000002
42.83134637476645,0.0013100000000000002
43.141896808261706,0.0013200000000000002
43.45219949002802,0.00133
43.76225444299928,0.00134
44.07206169023882,0.00135
44.38162125496085,0.00136
44.69093316049614,0.0013700000000000001
44.999997430322615,0.0013800000000000002
45.308814088052216,0.0013900000000000002
45.61738315743498,0.0014000000000000002
45.9257046623458,0.00141
46.23377862681596,0.00142
46.54160507500002,0.00143
46.84918403119529,0.00144
47.156515519837384,0.0014500000000000001
47.46359956549954,0.0014600000000000001
47.77043619289252,0.0014700000000000002
48.077025426871586,0.0014800000000000002
48.38336729242355,0.0014900000000000002
48.68946181468683,0.0015
48.995309018928126,0.00151
49.300908930563544,0.00152
49.60626157514415,0.0015300000000000001
49.911366978363475,0.0015400000000000001
50.21622516606631,0.0015500000000000002
50.52083616422499,0.0015600000000000002
50.825199998969026,0.0015700000000000002
51.12931669656346,0.00158
51.43318628341001,0.00159
51.73680878606388,0.0016
52.04018423122905,0.00161
52.34331264573617,0.0016200000000000001
52.64619405658013,0.0016300000000000002
52.94882849089071,0.0016400000000000002
53.25121597593751,0.0016500000000000002
53.55335653915867,0.0016600000000000002
53.85525020811563,0.00167
54.1568970105265,0.00168
54.45829697425368,0.00169
54.75945012730821,0.0017000000000000001
55.06035649785451,0.0017100000000000001
55.36101611419868,0.0017200000000000002
55.66142900479935,0.0017300000000000002
55.9615951982588,0.0017400000000000002
56.261514723333576,0.00175
56.56118760893338,0.00176
56.86061388411211,0.00177
57.159793578075636,0.0017800000000000001
