spring_displacement,mag3,interpolated_tension
0,362,0
0.0455373,362,0.0309654
0.0913382,363,0.0612832
0.137373,363,0.0924138
0.183673,363,0.123224
0.230224,364,0.154552
0.277017,365,0.185831
0.324079,365,0.217374
0.371415,365,0.249134
0.419007,366,0.280925
0.466859,367,0.313127
0.51499,368,0.345193
0.563437,368,0.377869
0.612182,370,0.410284
0.661182,369,0.44338
0.710505,369,0.476144
0.76013,369,0.509686
0.81009,371,0.542861
0.860354,372,0.576833
0.910936,374,0.610436
0.961861,375,0.644828
1.01309,376,0.678903
1.06472,376,0.713712
1.11665,377,0.748322
1.16896,378,0.783514
1.22162,379,0.8187
1.27465,381,0.854272
1.32808,383,0.890095
1.38188,385,0.926039
1.43605,386,0.962512
1.49065,387,0.998826
1.54565,388,1.03604
1.60112,388,1.07276
1.65697,388,1.1106
1.71331,388,1.14805
1.77009,389,1.18626
1.82732,391,1.22458
1.88501,393,1.26311
1.94318,394,1.30236
2.00189,395,1.34129
2.06108,396,1.38132
2.12083,395,1.42116
2.18108,397,1.46151
2.24189,399,1.50249
2.30322,400,1.54319
2.36521,401,1.58504
2.4278,402,1.62635
2.49095,402,1.66885
2.55476,403,1.71214
2.6192,404,1.75505
2.68431,406,1.79865
2.75013,408,1.84309
2.81669,409,1.88735
2.88394,409,1.9324
2.95192,410,1.97731
