spring_displacement,mag3,interpolated_tension
0,406,0
0.0455373,406,0.0309654
0.0913382,407,0.0612832
0.137373,407,0.0924138
0.183673,408,0.123224
0.230224,409,0.154552
0.277017,409,0.185831
0.324079,409,0.217374
0.371415,409,0.249134
0.419007,409,0.280925
0.466859,409,0.313127
0.51499,410,0.345193
0.563437,412,0.377869
0.612182,421,0.410284
0.661182,422,0.44338
0.710505,424,0.476144
0.76013,425,0.509686
0.81009,426,0.542861
0.860354,419,0.576833
0.910936,419,0.610436
0.961861,420,0.644828
1.01309,422,0.678903
1.06472,423,0.713712
1.11665,424,0.748322
1.16896,425,0.783514
1.22162,426,0.8187
1.27465,428,0.854272
1.32808,429,0.890095
1.38188,430,0.926039
1.43605,431,0.962512
1.49065,433,0.998826
1.54565,434,1.03604
1.60112,435,1.07276
1.65697,437,1.1106
1.71331,438,1.14805
1.77009,439,1.18626
1.82732,439,1.22458
1.88501,440,1.26311
1.94318,440,1.30236
2.00189,442,1.34129
2.06108,444,1.38132
2.12083,445,1.42116
2.18108,447,1.46151
2.24189,448,1.50249
2.30322,448,1.54319
2.36521,449,1.58504
2.4278,451,1.62635
2.49095,452,1.66885
2.55476,454,1.71214
2.6192,455,1.75505
2.68431,456,1.79865
2.75013,456,1.84309
2.81669,458,1.88735
2.88394,459,1.9324
2.95192,461,1.97731
