spring_displacement,mag3,interpolated_tension
0,379,0
0.0455373,379,0.0309654
0.0913382,379,0.0612832
0.137373,380,0.0924138
0.183673,380,0.123224
0.230224,381,0.154552
0.277017,382,0.185831
0.324079,382,0.217374
0.371415,382,0.249134
0.419007,383,0.280925
0.466859,382,0.313127
0.51499,384,0.345193
0.563437,384,0.377869
0.612182,385,0.410284
0.661182,386,0.44338
0.710505,388,0.476144
0.76013,389,0.509686
0.81009,390,0.542861
0.860354,390,0.576833
0.910936,391,0.610436
0.961861,392,0.644828
1.01309,393,0.678903
1.06472,394,0.713712
1.11665,396,0.748322
1.16896,397,0.783514
1.22162,398,0.8187
1.27465,399,0.854272
1.32808,400,0.890095
1.38188,401,0.926039
1.43605,402,0.962512
1.49065,403,0.998826
1.54565,405,1.03604
1.60112,407,1.07276
1.65697,408,1.1106
1.71331,410,1.14805
1.77009,411,1.18626
1.82732,411,1.22458
1.88501,411,1.26311
1.94318,412,1.30236
2.00189,413,1.34129
2.06108,415,1.38132
2.12083,417,1.42116
2.18108,419,1.46151
2.24189,419,1.50249
2.30322,420,1.54319
2.36521,419,1.58504
2.4278,421,1.62635
2.49095,422,1.66885
2.55476,423,1.71214
2.6192,425,1.75505
2.68431,427,1.79865
2.75013,427,1.84309
2.81669,429,1.88735
2.88394,430,1.9324
2.95192,432,1.97731
