spring_displacement,mag3,interpolated_tension
0,234,0
0.0455373,234,0.0309654
0.0913382,234,0.0612832
0.137373,235,0.0924138
0.183673,235,0.123224
0.230224,235,0.154552
0.277017,235,0.185831
0.324079,236,0.217374
0.371415,235,0.249134
0.419007,236,0.280925
0.466859,236,0.313127
0.51499,237,0.345193
0.563437,237,0.377869
0.612182,238,0.410284
0.661182,239,0.44338
0.710505,240,0.476144
0.76013,241,0.509686
0.81009,241,0.542861
0.860354,241,0.576833
0.910936,242,0.610436
0.961861,242,0.644828
1.01309,243,0.678903
1.06472,244,0.713712
1.11665,245,0.748322
1.16896,245,0.783514
1.22162,246,0.8187
1.27465,247,0.854272
1.32808,248,0.890095
1.38188,248,0.926039
1.43605,248,0.962512
1.49065,249,0.998826
1.54565,249,1.03604
1.60112,249,1.07276
1.65697,250,1.1106
1.71331,251,1.14805
1.77009,251,1.18626
1.82732,252,1.22458
1.88501,253,1.26311
1.94318,254,1.30236
2.00189,254,1.34129
2.06108,255,1.38132
2.12083,256,1.42116
2.18108,256,1.46151
2.24189,256,1.50249
2.30322,257,1.54319
2.36521,259,1.58504
2.4278,260,1.62635
2.49095,261,1.66885
2.55476,262,1.71214
2.6192,261,1.75505
2.68431,261,1.79865
2.75013,263,1.84309
2.81669,264,1.88735
2.88394,265,1.9324
2.95192,266,1.97731
