spring_displacement,mag3,interpolated_tension
0,545,0
0.0455373,545,0.0309654
0.0913382,545,0.0612832
0.137373,545,0.0924138
0.183673,545,0.123224
0.230224,545,0.154552
0.277017,546,0.185831
0.324079,546,0.217374
0.371415,546,0.249134
0.419007,547,0.280925
0.466859,547,0.313127
0.51499,548,0.345193
0.563437,549,0.377869
0.612182,550,0.410284
0.661182,552,0.44338
0.710505,553,0.476144
0.76013,554,0.509686
0.81009,555,0.542861
0.860354,557,0.576833
0.910936,557,0.610436
0.961861,557,0.644828
1.01309,559,0.678903
1.06472,560,0.713712
1.11665,562,0.748322
1.16896,563,0.783514
1.22162,567,0.8187
1.27465,569,0.854272
1.32808,571,0.890095
1.38188,573,0.926039
1.43605,576,0.962512
1.49065,578,0.998826
1.54565,579,1.03604
1.60112,581,1.07276
1.65697,583,1.1106
1.71331,585,1.14805
1.77009,585,1.18626
1.82732,585,1.22458
1.88501,586,1.26311
1.94318,588,1.30236
2.00189,590,1.34129
2.06108,593,1.38132
2.12083,595,1.42116
2.18108,597,1.46151
2.24189,599,1.50249
2.30322,599,1.54319
2.36521,601,1.58504
2.4278,603,1.62635
2.49095,605,1.66885
2.55476,607,1.71214
2.6192,608,1.75505
2.68431,608,1.79865
2.75013,610,1.84309
2.81669,612,1.88735
2.88394,613,1.9324
2.95192,615,1.97731
