spring_displacement,mag3,interpolated_tension
0,430,0
0.0455373,430,0.0309654
0.0913382,430,0.0612832
0.137373,431,0.0924138
0.183673,431,0.123224
0.230224,431,0.154552
0.277017,432,0.185831
0.324079,432,0.217374
0.371415,433,0.249134
0.419007,433,0.280925
0.466859,433,0.313127
0.51499,434,0.345193
0.563437,435,0.377869
0.612182,435,0.410284
0.661182,437,0.44338
0.710505,438,0.476144
0.76013,439,0.509686
0.81009,440,0.542861
0.860354,442,0.576833
0.910936,442,0.610436
0.961861,442,0.644828
1.01309,443,0.678903
1.06472,445,0.713712
1.11665,446,0.748322
1.16896,447,0.783514
1.22162,448,0.8187
1.27465,450,0.854272
1.32808,450,0.890095
1.38188,451,0.926039
1.43605,453,0.962512
1.49065,455,0.998826
1.54565,456,1.03604
1.60112,459,1.07276
1.65697,460,1.1106
1.71331,461,1.14805
1.77009,462,1.18626
1.82732,462,1.22458
1.88501,463,1.26311
1.94318,465,1.30236
2.00189,466,1.34129
2.06108,468,1.38132
2.12083,469,1.42116
2.18108,469,1.46151
2.24189,469,1.50249
2.30322,470,1.54319
2.36521,470,1.58504
2.4278,471,1.62635
2.49095,473,1.66885
2.55476,474,1.71214
2.6192,475,1.75505
2.68431,476,1.79865
2.75013,477,1.84309
2.81669,478,1.88735
2.88394,479,1.9324
2.95192,480,1.97731
