spring_displacement,mag3,interpolated_tension
0,212,0
0.0455373,213,0.0309654
0.0913382,213,0.0612832
0.137373,214,0.0924138
0.183673,214,0.123224
0.230224,214,0.154552
0.277017,214,0.185831
0.324079,214,0.217374
0.371415,214,0.249134
0.419007,215,0.280925
0.466859,215,0.313127
0.51499,215,0.345193
0.563437,216,0.377869
0.612182,216,0.410284
0.661182,217,0.44338
0.710505,218,0.476144
0.76013,218,0.509686
0.81009,219,0.542861
0.860354,220,0.576833
0.910936,220,0.610436
0.961861,221,0.644828
1.01309,221,0.678903
1.06472,221,0.713712
1.11665,222,0.748322
1.16896,222,0.783514
1.22162,223,0.8187
1.27465,223,0.854272
1.32808,225,0.890095
1.38188,225,0.926039
1.43605,226,0.962512
1.49065,226,0.998826
1.54565,227,1.03604
1.60112,227,1.07276
1.65697,229,1.1106
1.71331,229,1.14805
1.77009,230,1.18626
1.82732,229,1.22458
1.88501,229,1.26311
1.94318,230,1.30236
2.00189,231,1.34129
2.06108,232,1.38132
2.12083,233,1.42116
2.18108,234,1.46151
2.24189,234,1.50249
2.30322,234,1.54319
2.36521,234,1.58504
2.4278,235,1.62635
2.49095,237,1.66885
2.55476,237,1.71214
2.6192,238,1.75505
2.68431,239,1.79865
2.75013,240,1.84309
2.81669,240,1.88735
2.88394,241,1.9324
2.95192,239,1.97731
