spring_displacement,mag0,interpolated_tension
0,215,0
0.0425532,215,0.126809
0.0852866,216,0.255565
0.128227,216,0.385811
0.171367,217,0.518237
0.214696,217,0.653144
0.258224,217,0.789988
0.301979,218,0.928372
0.345954,218,1.06997
0.390177,218,1.21398
0.434609,218,1.36021
0.479275,218,1.50878
0.524167,218,1.65969
0.569293,218,1.81337
0.614663,219,1.97003
0.660256,219,2.1291
0.706083,220,2.29078
0.752178,220,2.45588
0.798517,220,2.62363
0.845149,222,2.79425
0.892026,222,2.96834
0.939151,222,3.14599
0.986562,223,3.32667
1.03424,223,3.51085
1.08221,223,3.69891
1.13046,224,3.89086
1.17902,224,4.08623
1.22786,225,4.28525
1.277,225,4.48884
1.32641,226,4.69646
1.37615,225,4.90844
1.42623,226,5.12484
1.47664,226,5.34576
1.52737,226,5.5716
1.5784,227,5.80252
1.62979,228,6.03865
1.68154,228,6.28022
1.73365,229,6.52716
1.78612,230,6.77982
1.83894,230,7.03859
1.89216,231,7.30298
1.94576,231,7.57447
1.99973,232,7.85161
2.05416,232,8.13714
2.10899,233,8.42952
2.16421,233,8.72914
2.21985,234,9.03679
2.27599,235,9.3526
2.33254,235,9.67708
2.38954,235,10.0097
2.44701,235,10.3521
2.50496,236,10.7046
2.56347,237,11.0669
2.62245,237,11.4402
2.68196,238,11.8244
2.74195,239,12.2197
2.8025,240,12.6272
2.86367,240,13.0484
2.9254,242,13.4829
2.98769,243,13.9309
