spring_displacement,mag0,interpolated_tension
0,365,0
0.0425532,365,0.126809
0.0852866,364,0.255565
0.128227,364,0.385811
0.171367,364,0.518237
0.214696,365,0.653144
0.258224,366,0.789988
0.301979,367,0.928372
0.345954,367,1.06997
0.390177,367,1.21398
0.434609,366,1.36021
0.479275,366,1.50878
0.524167,367,1.65969
0.569293,369,1.81337
0.614663,370,1.97003
0.660256,371,2.1291
0.706083,371,2.29078
0.752178,371,2.45588
0.798517,372,2.62363
0.845149,373,2.79425
0.892026,373,2.96834
0.939151,374,3.14599
0.986562,375,3.32667
1.03424,376,3.51085
1.08221,378,3.69891
1.13046,378,3.89086
1.17902,380,4.08623
1.22786,381,4.28525
1.277,381,4.48884
1.32641,381,4.69646
1.37615,381,4.90844
1.42623,381,5.12484
1.47664,383,5.34576
1.52737,384,5.5716
1.5784,385,5.80252
1.62979,388,6.03865
1.68154,389,6.28022
1.73365,391,6.52716
1.78612,392,6.77982
1.83894,394,7.03859
1.89216,395,7.30298
1.94576,395,7.57447
1.99973,394,7.85161
2.05416,396,8.13714
2.10899,397,8.42952
2.16421,397,8.72914
2.21985,399,9.03679
2.27599,399,9.3526
2.33254,399,9.67708
2.38954,399,10.0097
2.44701,399,10.3521
2.50496,400,10.7046
2.56347,402,11.0669
2.62245,404,11.4402
2.68196,405,11.8244
2.74195,406,12.2197
2.8025,406,12.6272
2.86367,408,13.0484
2.9254,409,13.4829
2.98769,411,13.9309
