spring_displacement,mag0,interpolated_tension
0,408,0
0.0425532,408,0.126809
0.0852866,408,0.255565
0.128227,409,0.385811
0.171367,408,0.518237
0.214696,408,0.653144
0.258224,408,0.789988
0.301979,408,0.928372
0.345954,408,1.06997
0.390177,409,1.21398
0.434609,409,1.36021
0.479275,410,1.50878
0.524167,411,1.65969
0.569293,412,1.81337
0.614663,413,1.97003
0.660256,414,2.1291
0.706083,415,2.29078
0.752178,416,2.45588
0.798517,417,2.62363
0.845149,418,2.79425
0.892026,419,2.96834
0.939151,420,3.14599
0.986562,421,3.32667
1.03424,422,3.51085
1.08221,423,3.69891
1.13046,424,3.89086
1.17902,425,4.08623
1.22786,425,4.28525
1.277,425,4.48884
1.32641,425,4.69646
1.37615,427,4.90844
1.42623,428,5.12484
1.47664,429,5.34576
1.52737,430,5.5716
1.5784,433,5.80252
1.62979,435,6.03865
1.68154,436,6.28022
1.73365,438,6.52716
1.78612,439,6.77982
1.83894,439,7.03859
1.89216,441,7.30298
1.94576,442,7.57447
1.99973,443,7.85161
2.05416,445,8.13714
2.10899,446,8.42952
2.16421,446,8.72914
2.21985,446,9.03679
2.27599,446,9.3526
2.33254,446,9.67708
2.38954,447,10.0097
2.44701,449,10.3521
2.50496,450,10.7046
2.56347,452,11.0669
2.62245,453,11.4402
2.68196,454,11.8244
2.74195,454,12.2197
2.8025,456,12.6272
2.86367,458,13.0484
2.9254,460,13.4829
2.98769,462,13.9309
