spring_displacement,mag0,interpolated_tension
0,431,0
0.0425532,431,0.126809
0.0852866,431,0.255565
0.128227,432,0.385811
0.171367,432,0.518237
0.214696,432,0.653144
0.258224,432,0.789988
0.301979,432,0.928372
0.345954,431,1.06997
0.390177,432,1.21398
0.434609,432,1.36021
0.479275,433,1.50878
0.524167,434,1.65969
0.569293,435,1.81337
0.614663,436,1.97003
0.660256,437,2.1291
0.706083,438,2.29078
0.752178,439,2.45588
0.798517,440,2.62363
0.845149,441,2.79425
0.892026,442,2.96834
0.939151,443,3.14599
0.986562,444,3.32667
1.03424,445,3.51085
1.08221,446,3.69891
1.13046,448,3.89086
1.17902,449,4.08623
1.22786,448,4.28525
1.277,447,4.48884
1.32641,447,4.69646
1.37615,447,4.90844
1.42623,448,5.12484
1.47664,450,5.34576
1.52737,453,5.5716
1.5784,456,5.80252
1.62979,459,6.03865
1.68154,460,6.28022
1.73365,461,6.52716
1.78612,462,6.77982
1.83894,462,7.03859
1.89216,463,7.30298
1.94576,465,7.57447
1.99973,467,7.85161
2.05416,468,8.13714
2.10899,470,8.42952
2.16421,470,8.72914
2.21985,470,9.03679
2.27599,470,9.3526
2.33254,470,9.67708
2.38954,470,10.0097
2.44701,471,10.3521
2.50496,473,10.7046
2.56347,475,11.0669
2.62245,477,11.4402
2.68196,478,11.8244
2.74195,481,12.2197
2.8025,482,12.6272
2.86367,484,13.0484
2.9254,485,13.4829
2.98769,487,13.9309
