spring_displacement,mag2,interpolated_tension
0,428,0
0.0291886,428,0.0198482
0.0584066,428,0.0395483
0.0876977,428,0.0588805
0.117049,428,0.0785932
0.146443,428,0.0985814
0.175929,428,0.118113
0.20545,428,0.137706
0.235071,428,0.157848
0.264744,428,0.177731
0.294471,428,0.197351
0.324284,428,0.217513
0.354132,428,0.237727
0.384072,428,0.257487
0.414071,428,0.277568
0.444137,428,0.298013
0.474291,428,0.318032
0.504482,428,0.338048
0.534767,428,0.358641
0.565106,428,0.37897
0.595502,428,0.399031
0.626007,428,0.419685
0.656556,428,0.440327
0.687194,428,0.460548
0.717897,428,0.48117
0.748647,428,0.50208
0.779506,428,0.522474
0.810409,428,0.543078
0.841388,428,0.564144
0.872464,428,0.584826
0.903592,428,0.605442
0.934822,428,0.626679
0.966113,428,0.647634
0.997461,428,0.668324
1.02892,428,0.689664
1.06042,428,0.710879
1.09201,428,0.731726
1.1237,428,0.753115
1.15545,428,0.774594
1.18729,428,0.795613
1.21921,428,0.817065
1.25119,428,0.838784
1.28328,428,0.859965
1.31544,428,0.8815
1.34768,428,0.903422
1.38003,428,0.924821
1.41244,428,0.946456
1.4449,428,0.968534
1.47751,428,0.990159
1.51018,428,1.01192
1.54293,428,1.03419
1.57577,428,1.05601
1.60869,428,1.07791
1.64171,428,1.10036
1.67483,428,1.12239
1.70802,428,1.14445
1.74128,428,1.16707
1.77468,428,1.18929
1.80815,428,1.21154
1.84171,428,1.23436
1.87537,428,1.25674
1.90911,428,1.27919
1.94296,428,1.30221
1.97692,428,1.32477
2.01095,428,1.34744
2.04505,428,1.37064
2.0793,428,1.39334
2.11364,428,1.41627
2.14807,428,1.43969
2.18262,428,1.46253
2.21724,428,1.48573
2.25195,428,1.50929
2.28682,428,1.5323
2.32178,428,1.55581
2.35682,428,1.5795
2.39195,428,1.60269
2.42722,428,1.62597
2.46259,428,1.64956
2.49805,428,1.67367
2.53365,428,1.69788
2.56935,428,1.72177
2.60514,428,1.7455
2.64109,428,1.76994
2.67713,428,1.7939
2.71327,428,1.81802
2.74953,428,1.84268
2.78592,428,1.86671
2.82242,428,1.89125
2.85903,428,1.91596
2.89574,428,1.94019
2.93262,428,1.96453
2.96961,428,1.98933
