motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.251,0.050,0.034
2.495,0.100,0.067
3.734,0.150,0.101
4.967,0.200,0.134
6.194,0.250,0.168
7.416,0.300,0.201
8.631,0.350,0.235
9.840,0.400,0.268
11.044,0.450,0.302
12.241,0.500,0.335
13.433,0.550,0.369
14.619,0.600,0.402
15.799,0.650,0.436
16.973,0.700,0.469
18.142,0.750,0.503
19.304,0.800,0.536
20.461,0.850,0.570
21.611,0.900,0.603
22.756,0.950,0.637
23.895,1.000,0.670
25.028,1.050,0.704
26.155,1.100,0.737
27.277,1.150,0.771
28.392,1.200,0.804
29.502,1.250,0.838
30.606,1.300,0.871
31.704,1.350,0.905
32.796,1.400,0.938
33.883,1.450,0.972
34.963,1.500,1.005
36.038,1.550,1.039
37.107,1.600,1.072
38.170,1.650,1.106
39.227,1.700,1.139
40.279,1.750,1.173
41.324,1.800,1.206
42.364,1.850,1.240
43.398,1.900,1.273
44.427,1.950,1.307
45.449,2.000,1.340
46.466,2.050,1.374
47.477,2.100,1.407
48.482,2.150,1.441
49.482,2.200,1.474
50.475,2.250,1.508
51.463,2.300,1.541
52.445,2.350,1.575
53.422,2.400,1.608
54.392,2.450,1.641
55.357,2.500,1.675
56.316,2.550,1.709
57.270,2.600,1.742
58.218,2.650,1.776
59.160,2.700,1.809
60.096,2.750,1.843
61.027,2.800,1.876
61.952,2.850,1.910
62.871,2.900,1.943
63.784,2.950,1.976
64.692,3.000,2.010
65.594,3.050,2.044
66.491,3.100,2.077
67.382,3.150,2.111
68.267,3.200,2.144
69.147,3.250,2.178
70.021,3.300,2.211
70.889,3.350,2.245
71.752,3.400,2.278
72.609,3.450,2.312
73.460,3.500,2.345
74.306,3.550,2.379
75.146,3.600,2.412
75.981,3.650,2.446
76.810,3.700,2.479
77.634,3.750,2.513
78.452,3.800,2.546
79.264,3.850,2.580
80.071,3.900,2.613
80.873,3.950,2.647
81.669,4.000,2.680
82.459,4.050,2.714
83.244,4.100,2.747
84.023,4.150,2.780
84.797,4.200,2.814
85.566,4.250,2.848
86.329,4.300,2.881
87.086,4.350,2.915
87.838,4.400,2.948
88.585,4.450,2.982
89.326,4.500,3.015
90.062,4.550,3.049
90.793,4.600,3.082
91.518,4.650,3.116
92.237,4.700,3.149
92.952,4.750,3.183
93.661,4.800,3.216
94.364,4.850,3.250
95.063,4.900,3.283
95.756,4.950,3.317
96.443,5.000,3.350
97.126,5.050,3.384
97.803,5.100,3.417
98.475,5.150,3.451
99.141,5.200,3.484
99.803,5.250,3.518
100.459,5.300,3.551
101.110,5.350,3.585
101.756,5.400,3.618
102.396,5.450,3.652
103.032,5.500,3.685
103.662,5.550,3.719
104.287,5.600,3.752
104.907,5.650,3.786
105.522,5.700,3.819
106.132,5.750,3.853
106.737,5.800,3.886
107.336,5.850,3.920
107.931,5.900,3.953
108.521,5.950,3.987
109.105,6.000,4.020
109.685,6.050,4.054
110.260,6.100,4.087
110.829,6.150,4.120
111.394,6.200,4.154
111.954,6.250,4.188
112.509,6.300,4.221
113.059,6.350,4.255
113.604,6.400,4.288
114.144,6.450,4.322
114.680,6.500,4.355
115.211,6.550,4.388
115.736,6.600,4.422
116.257,6.650,4.456
116.774,6.700,4.489
117.285,6.750,4.523
117.792,6.800,4.556
118.294,6.850,4.590
118.792,6.900,4.623
119.285,6.950,4.657
119.773,7.000,4.690
120.256,7.050,4.724
120.735,7.100,4.757
121.209,7.150,4.791
121.679,7.200,4.824
122.144,7.250,4.858
122.605,7.300,4.891
123.061,7.350,4.925
123.513,7.400,4.958
123.960,7.450,4.992
124.403,7.500,5.025
124.841,7.550,5.059
125.275,7.600,5.092
125.705,7.650,5.126
126.130,7.700,5.159
126.551,7.750,5.192
126.967,7.800,5.226
127.379,7.850,5.260
127.787,7.900,5.293
128.191,7.950,5.327
128.590,8.000,5.360
128.986,8.050,5.393
129.377,8.100,5.427
129.764,8.150,5.461
130.146,8.200,5.494
130.525,8.250,5.527
130.899,8.300,5.561
131.270,8.350,5.595
131.636,8.400,5.628
131.998,8.450,5.662
132.356,8.500,5.695
132.710,8.550,5.729
133.061,8.600,5.762
133.407,8.650,5.796
133.749,8.700,5.829
134.087,8.750,5.863
134.422,8.800,5.896
134.752,8.850,5.930
135.079,8.900,5.963
135.401,8.950,5.997
135.720,9.000,6.030
136.035,9.050,6.064
136.347,9.100,6.097
136.654,9.150,6.131
136.958,9.200,6.164
137.257,9.250,6.198
137.554,9.300,6.231
137.846,9.350,6.265
138.135,9.400,6.298
138.420,9.450,6.332
138.701,9.500,6.365
138.978,9.550,6.399
139.252,9.600,6.432
139.523,9.650,6.466
139.789,9.700,6.499
140.052,9.750,6.532
140.312,9.800,6.566
140.567,9.850,6.600
140.819,9.900,6.633
141.068,9.950,6.667
141.313,10.000,6.700
