motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.095,0.050,0.034
2.184,0.100,0.067
3.266,0.150,0.101
4.343,0.200,0.134
5.413,0.250,0.168
6.476,0.300,0.201
7.534,0.350,0.235
8.585,0.400,0.268
9.630,0.450,0.302
10.669,0.500,0.335
11.702,0.550,0.369
12.728,0.600,0.402
13.748,0.650,0.436
14.762,0.700,0.469
15.769,0.750,0.503
16.770,0.800,0.536
17.766,0.850,0.570
18.754,0.900,0.603
19.737,0.950,0.637
20.713,1.000,0.670
21.684,1.050,0.704
22.647,1.100,0.737
23.605,1.150,0.771
24.557,1.200,0.804
25.502,1.250,0.838
26.441,1.300,0.871
27.374,1.350,0.905
28.301,1.400,0.938
29.221,1.450,0.972
30.135,1.500,1.005
31.044,1.550,1.039
31.946,1.600,1.072
32.841,1.650,1.106
33.731,1.700,1.139
34.614,1.750,1.173
35.491,1.800,1.206
36.362,1.850,1.240
37.227,1.900,1.273
38.086,1.950,1.307
38.939,2.000,1.340
39.785,2.050,1.374
40.625,2.100,1.407
41.460,2.150,1.441
42.288,2.200,1.474
43.109,2.250,1.508
43.925,2.300,1.541
44.735,2.350,1.575
45.538,2.400,1.608
46.336,2.450,1.641
47.127,2.500,1.675
47.912,2.550,1.709
48.691,2.600,1.742
49.464,2.650,1.776
50.231,2.700,1.809
50.992,2.750,1.843
51.747,2.800,1.876
52.496,2.850,1.910
53.239,2.900,1.943
53.975,2.950,1.976
54.706,3.000,2.010
55.430,3.050,2.044
56.149,3.100,2.077
56.861,3.150,2.111
57.568,3.200,2.144
58.268,3.250,2.178
58.963,3.300,2.211
59.651,3.350,2.245
60.334,3.400,2.278
61.010,3.450,2.312
61.681,3.500,2.345
62.345,3.550,2.379
63.004,3.600,2.412
63.657,3.650,2.446
64.303,3.700,2.479
64.944,3.750,2.513
65.579,3.800,2.546
66.208,3.850,2.580
66.831,3.900,2.613
67.448,3.950,2.647
68.060,4.000,2.680
68.665,4.050,2.714
69.265,4.100,2.747
69.858,4.150,2.780
70.446,4.200,2.814
71.028,4.250,2.848
71.605,4.300,2.881
72.175,4.350,2.915
72.740,4.400,2.948
73.298,4.450,2.982
73.851,4.500,3.015
74.399,4.550,3.049
74.940,4.600,3.082
75.476,4.650,3.116
76.006,4.700,3.149
76.530,4.750,3.183
77.049,4.800,3.216
77.562,4.850,3.250
78.069,4.900,3.283
78.570,4.950,3.317
79.066,5.000,3.350
79.556,5.050,3.384
80.041,5.100,3.417
80.520,5.150,3.451
80.993,5.200,3.484
81.461,5.250,3.518
81.923,5.300,3.551
82.379,5.350,3.585
82.830,5.400,3.618
83.276,5.450,3.652
83.716,5.500,3.685
84.150,5.550,3.719
84.579,5.600,3.752
85.003,5.650,3.786
85.421,5.700,3.819
85.833,5.750,3.853
86.240,5.800,3.886
86.642,5.850,3.920
87.038,5.900,3.953
87.429,5.950,3.987
87.815,6.000,4.020
88.195,6.050,4.054
88.570,6.100,4.087
88.939,6.150,4.120
89.303,6.200,4.154
89.662,6.250,4.188
90.016,6.300,4.221
90.364,6.350,4.255
90.707,6.400,4.288
91.045,6.450,4.322
91.378,6.500,4.355
91.706,6.550,4.388
92.028,6.600,4.422
92.346,6.650,4.456
92.658,6.700,4.489
92.965,6.750,4.523
93.267,6.800,4.556
93.564,6.850,4.590
93.856,6.900,4.623
94.142,6.950,4.657
94.424,7.000,4.690
94.430,7.050,4.724
94.372,7.100,4.757
94.309,7.150,4.791
94.240,7.200,4.824
94.167,7.250,4.858
94.089,7.300,4.891
94.007,7.350,4.925
93.919,7.400,4.958
93.826,7.450,4.992
93.729,7.500,5.025
93.627,7.550,5.059
93.520,7.600,5.092
93.409,7.650,5.126
93.293,7.700,5.159
93.172,7.750,5.192
93.046,7.800,5.226
92.916,7.850,5.260
92.781,7.900,5.293
92.641,7.950,5.327
92.497,8.000,5.360
92.349,8.050,5.393
92.195,8.100,5.427
92.038,8.150,5.461
91.875,8.200,5.494
91.709,8.250,5.527
91.537,8.300,5.561
91.362,8.350,5.595
91.182,8.400,5.628
90.997,8.450,5.662
90.808,8.500,5.695
90.615,8.550,5.729
90.418,8.600,5.762
90.216,8.650,5.796
90.010,8.700,5.829
89.799,8.750,5.863
89.584,8.800,5.896
89.366,8.850,5.930
89.142,8.900,5.963
88.915,8.950,5.997
88.683,9.000,6.030
88.448,9.050,6.064
88.208,9.100,6.097
87.964,9.150,6.131
87.715,9.200,6.164
87.463,9.250,6.198
87.207,9.300,6.231
86.946,9.350,6.265
86.682,9.400,6.298
86.413,9.450,6.332
86.141,9.500,6.365
85.864,9.550,6.399
85.584,9.600,6.432
85.299,9.650,6.466
85.010,9.700,6.499
84.718,9.750,6.532
84.421,9.800,6.566
84.121,9.850,6.600
83.817,9.900,6.633
83.508,9.950,6.667
83.196,10.000,6.700
