motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.255,0.050,0.034
2.504,0.100,0.067
3.747,0.150,0.101
4.983,0.200,0.134
6.212,0.250,0.168
7.435,0.300,0.201
8.651,0.350,0.235
9.861,0.400,0.268
11.064,0.450,0.302
12.261,0.500,0.335
13.451,0.550,0.369
14.635,0.600,0.402
15.812,0.650,0.436
16.983,0.700,0.469
18.147,0.750,0.503
19.305,0.800,0.536
20.456,0.850,0.570
21.601,0.900,0.603
22.739,0.950,0.637
23.871,1.000,0.670
24.996,1.050,0.704
26.115,1.100,0.737
27.227,1.150,0.771
28.333,1.200,0.804
29.432,1.250,0.838
30.525,1.300,0.871
31.612,1.350,0.905
32.692,1.400,0.938
33.765,1.450,0.972
34.832,1.500,1.005
35.893,1.550,1.039
36.947,1.600,1.072
37.995,1.650,1.106
39.036,1.700,1.139
40.071,1.750,1.173
41.100,1.800,1.206
42.122,1.850,1.240
43.137,1.900,1.273
44.147,1.950,1.307
45.149,2.000,1.340
46.146,2.050,1.374
47.136,2.100,1.407
48.119,2.150,1.441
49.096,2.200,1.474
50.067,2.250,1.508
51.032,2.300,1.541
51.990,2.350,1.575
52.941,2.400,1.608
53.887,2.450,1.641
54.826,2.500,1.675
55.758,2.550,1.709
56.684,2.600,1.742
57.604,2.650,1.776
58.518,2.700,1.809
59.425,2.750,1.843
60.326,2.800,1.876
61.221,2.850,1.910
62.109,2.900,1.943
62.991,2.950,1.976
63.867,3.000,2.010
64.736,3.050,2.044
65.599,3.100,2.077
66.456,3.150,2.111
67.307,3.200,2.144
68.151,3.250,2.178
68.989,3.300,2.211
69.821,3.350,2.245
70.647,3.400,2.278
71.466,3.450,2.312
72.279,3.500,2.345
73.086,3.550,2.379
73.887,3.600,2.412
74.682,3.650,2.446
75.470,3.700,2.479
76.252,3.750,2.513
77.028,3.800,2.546
77.798,3.850,2.580
78.562,3.900,2.613
79.320,3.950,2.647
80.071,4.000,2.680
80.817,4.050,2.714
81.556,4.100,2.747
82.289,4.150,2.780
83.016,4.200,2.814
83.737,4.250,2.848
84.452,4.300,2.881
85.161,4.350,2.915
85.864,4.400,2.948
86.561,4.450,2.982
87.252,4.500,3.015
87.937,4.550,3.049
88.616,4.600,3.082
89.289,4.650,3.116
89.956,4.700,3.149
90.617,4.750,3.183
91.272,4.800,3.216
91.921,4.850,3.250
92.564,4.900,3.283
93.201,4.950,3.317
93.833,5.000,3.350
94.458,5.050,3.384
95.078,5.100,3.417
95.692,5.150,3.451
96.300,5.200,3.484
96.902,5.250,3.518
97.499,5.300,3.551
98.089,5.350,3.585
98.674,5.400,3.618
99.253,5.450,3.652
99.827,5.500,3.685
100.395,5.550,3.719
100.956,5.600,3.752
101.513,5.650,3.786
102.063,5.700,3.819
102.608,5.750,3.853
103.148,5.800,3.886
103.681,5.850,3.920
104.209,5.900,3.953
104.732,5.950,3.987
105.249,6.000,4.020
105.760,6.050,4.054
106.266,6.100,4.087
106.766,6.150,4.120
107.261,6.200,4.154
107.751,6.250,4.188
108.234,6.300,4.221
108.713,6.350,4.255
109.186,6.400,4.288
109.654,6.450,4.322
110.116,6.500,4.355
110.573,6.550,4.388
111.024,6.600,4.422
111.470,6.650,4.456
111.911,6.700,4.489
112.347,6.750,4.523
112.777,6.800,4.556
113.202,6.850,4.590
113.622,6.900,4.623
114.037,6.950,4.657
114.446,7.000,4.690
114.851,7.050,4.724
115.250,7.100,4.757
115.644,7.150,4.791
116.033,7.200,4.824
116.417,7.250,4.858
116.796,7.300,4.891
117.169,7.350,4.925
117.538,7.400,4.958
117.902,7.450,4.992
118.261,7.500,5.025
118.615,7.550,5.059
118.964,7.600,5.092
119.308,7.650,5.126
119.647,7.700,5.159
119.981,7.750,5.192
120.310,7.800,5.226
120.635,7.850,5.260
120.955,7.900,5.293
121.270,7.950,5.327
121.580,8.000,5.360
121.886,8.050,5.393
122.187,8.100,5.427
122.483,8.150,5.461
122.774,8.200,5.494
123.061,8.250,5.527
123.343,8.300,5.561
123.621,8.350,5.595
123.894,8.400,5.628
124.162,8.450,5.662
124.426,8.500,5.695
124.685,8.550,5.729
124.940,8.600,5.762
125.191,8.650,5.796
125.436,8.700,5.829
125.678,8.750,5.863
125.915,8.800,5.896
126.147,8.850,5.930
126.375,8.900,5.963
126.599,8.950,5.997
126.818,9.000,6.030
127.033,9.050,6.064
127.055,9.100,6.097
126.909,9.150,6.131
126.758,9.200,6.164
126.603,9.250,6.198
126.444,9.300,6.231
126.280,9.350,6.265
126.113,9.400,6.298
125.940,9.450,6.332
125.764,9.500,6.365
125.584,9.550,6.399
125.399,9.600,6.432
125.210,9.650,6.466
125.017,9.700,6.499
124.820,9.750,6.532
124.619,9.800,6.566
124.413,9.850,6.600
124.204,9.900,6.633
123.990,9.950,6.667
123.772,10.000,6.700
