motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.405,0.050,0.034
2.805,0.100,0.067
4.198,0.150,0.101
5.586,0.200,0.134
6.967,0.250,0.168
8.343,0.300,0.201
9.713,0.350,0.235
11.077,0.400,0.268
12.436,0.450,0.302
13.788,0.500,0.335
15.135,0.550,0.369
16.476,0.600,0.402
17.811,0.650,0.436
19.140,0.700,0.469
20.463,0.750,0.503
21.780,0.800,0.536
23.092,0.850,0.570
24.397,0.900,0.603
25.697,0.950,0.637
26.991,1.000,0.670
28.280,1.050,0.704
29.562,1.100,0.737
30.839,1.150,0.771
32.109,1.200,0.804
33.374,1.250,0.838
34.633,1.300,0.871
35.887,1.350,0.905
37.134,1.400,0.938
38.376,1.450,0.972
39.612,1.500,1.005
40.842,1.550,1.039
42.066,1.600,1.072
43.285,1.650,1.106
44.497,1.700,1.139
45.704,1.750,1.173
46.906,1.800,1.206
48.101,1.850,1.240
49.291,1.900,1.273
50.474,1.950,1.307
51.653,2.000,1.340
52.825,2.050,1.374
53.991,2.100,1.407
55.152,2.150,1.441
56.307,2.200,1.474
57.457,2.250,1.508
58.600,2.300,1.541
59.738,2.350,1.575
60.870,2.400,1.608
61.997,2.450,1.641
63.118,2.500,1.675
64.233,2.550,1.709
65.342,2.600,1.742
66.446,2.650,1.776
67.543,2.700,1.809
68.636,2.750,1.843
69.722,2.800,1.876
70.803,2.850,1.910
71.878,2.900,1.943
72.948,2.950,1.976
74.012,3.000,2.010
75.070,3.050,2.044
76.123,3.100,2.077
77.170,3.150,2.111
78.211,3.200,2.144
79.247,3.250,2.178
80.277,3.300,2.211
81.301,3.350,2.245
82.320,3.400,2.278
83.334,3.450,2.312
84.341,3.500,2.345
85.343,3.550,2.379
86.340,3.600,2.412
87.331,3.650,2.446
88.316,3.700,2.479
89.296,3.750,2.513
90.271,3.800,2.546
91.240,3.850,2.580
92.203,3.900,2.613
93.161,3.950,2.647
94.113,4.000,2.680
95.060,4.050,2.714
96.001,4.100,2.747
96.937,4.150,2.780
97.868,4.200,2.814
98.792,4.250,2.848
99.712,4.300,2.881
100.626,4.350,2.915
101.535,4.400,2.948
102.438,4.450,2.982
103.336,4.500,3.015
104.228,4.550,3.049
105.115,4.600,3.082
105.997,4.650,3.116
106.874,4.700,3.149
107.745,4.750,3.183
108.610,4.800,3.216
109.471,4.850,3.250
110.326,4.900,3.283
111.175,4.950,3.317
112.020,5.000,3.350
112.859,5.050,3.384
113.693,5.100,3.417
114.522,5.150,3.451
115.345,5.200,3.484
116.163,5.250,3.518
116.976,5.300,3.551
117.784,5.350,3.585
118.587,5.400,3.618
119.385,5.450,3.652
120.177,5.500,3.685
120.964,5.550,3.719
121.746,5.600,3.752
122.523,5.650,3.786
123.295,5.700,3.819
124.062,5.750,3.853
124.824,5.800,3.886
125.580,5.850,3.920
126.332,5.900,3.953
127.079,5.950,3.987
127.821,6.000,4.020
128.557,6.050,4.054
129.289,6.100,4.087
130.016,6.150,4.120
130.738,6.200,4.154
131.455,6.250,4.188
132.167,6.300,4.221
132.874,6.350,4.255
133.576,6.400,4.288
134.274,6.450,4.322
134.966,6.500,4.355
135.654,6.550,4.388
136.337,6.600,4.422
137.016,6.650,4.456
137.689,6.700,4.489
138.358,6.750,4.523
139.022,6.800,4.556
139.682,6.850,4.590
140.336,6.900,4.623
140.986,6.950,4.657
141.632,7.000,4.690
142.273,7.050,4.724
142.909,7.100,4.757
143.540,7.150,4.791
144.168,7.200,4.824
144.790,7.250,4.858
145.408,7.300,4.891
146.022,7.350,4.925
146.631,7.400,4.958
147.235,7.450,4.992
147.836,7.500,5.025
148.431,7.550,5.059
149.023,7.600,5.092
149.610,7.650,5.126
150.192,7.700,5.159
150.771,7.750,5.192
151.344,7.800,5.226
151.914,7.850,5.260
152.480,7.900,5.293
153.041,7.950,5.327
153.598,8.000,5.360
154.150,8.050,5.393
154.699,8.100,5.427
155.243,8.150,5.461
155.784,8.200,5.494
156.320,8.250,5.527
156.852,8.300,5.561
157.380,8.350,5.595
157.903,8.400,5.628
158.423,8.450,5.662
158.939,8.500,5.695
159.451,8.550,5.729
159.958,8.600,5.762
160.462,8.650,5.796
160.962,8.700,5.829
161.458,8.750,5.863
161.950,8.800,5.896
162.438,8.850,5.930
162.922,8.900,5.963
163.402,8.950,5.997
163.879,9.000,6.030
164.352,9.050,6.064
164.820,9.100,6.097
165.285,9.150,6.131
165.747,9.200,6.164
166.204,9.250,6.198
166.658,9.300,6.231
167.108,9.350,6.265
167.554,9.400,6.298
167.997,9.450,6.332
168.436,9.500,6.365
168.871,9.550,6.399
169.303,9.600,6.432
169.731,9.650,6.466
170.155,9.700,6.499
170.576,9.750,6.532
170.993,9.800,6.566
171.406,9.850,6.600
171.816,9.900,6.633
172.222,9.950,6.667
172.625,10.000,6.700
