spring_displacement,mag2,interpolated_tension
0,429,0
0.0291886,429,0.0198482
0.0584066,429,0.0395483
0.0876977,429,0.0588805
0.117049,429,0.0785932
0.146443,430,0.0985814
0.175929,430,0.118113
0.20545,430,0.137706
0.235071,431,0.157848
0.264744,430,0.177731
0.294471,431,0.197351
0.324284,432,0.217513
0.354132,432,0.237727
0.384072,432,0.257487
0.414071,433,0.277568
0.444137,433,0.298013
0.474291,434,0.318032
0.504482,434,0.338048
0.534767,435,0.358641
0.565106,436,0.37897
0.595502,437,0.399031
0.626007,437,0.419685
0.656556,438,0.440327
0.687194,439,0.460548
0.717897,440,0.48117
0.748647,441,0.50208
0.779506,442,0.522474
0.810409,443,0.543078
0.841388,443,0.564144
0.872464,444,0.584826
0.903592,445,0.605442
0.934822,445,0.626679
0.966113,446,0.647634
0.997461,447,0.668324
1.02892,448,0.689664
1.06042,448,0.710879
1.09201,448,0.731726
1.1237,449,0.753115
1.15545,449,0.774594
1.18729,450,0.795613
1.21921,450,0.817065
1.25119,452,0.838784
1.28328,452,0.859965
1.31544,453,0.8815
1.34768,453,0.903422
1.38003,454,0.924821
1.41244,454,0.946456
1.4449,455,0.968534
1.47751,455,0.990159
1.51018,456,1.01192
1.54293,456,1.03419
1.57577,456,1.05601
1.60869,456,1.07791
1.64171,457,1.10036
1.67483,457,1.12239
1.70802,457,1.14445
1.74128,458,1.16707
1.77468,458,1.18929
1.80815,458,1.21154
1.84171,459,1.23436
1.87537,459,1.25674
1.90911,459,1.27919
1.94296,460,1.30221
1.97692,461,1.32477
2.01095,461,1.34744
2.04505,462,1.37064
2.0793,463,1.39334
2.11364,463,1.41627
2.14807,463,1.43969
2.18262,464,1.46253
2.21724,464,1.48573
2.25195,464,1.50929
2.28682,465,1.5323
2.32178,465,1.55581
2.35682,466,1.5795
2.39195,466,1.60269
2.42722,466,1.62597
2.46259,466,1.64956
2.49805,470,1.67367
2.53365,473,1.69788
2.56935,476,1.72177
2.60514,480,1.7455
2.64109,485,1.76994
2.67713,487,1.7939
2.71327,489,1.81802
2.74953,491,1.84268
2.78592,494,1.86671
2.82242,496,1.89125
2.85903,497,1.91596
2.89574,498,1.94019
2.93262,500,1.96453
2.96961,502,1.98933
