motor_step_angle,spring_displacement,tension
0.000,0.000,0.000
1.098,0.050,0.034
2.189,0.100,0.067
3.274,0.150,0.101
4.352,0.200,0.134
5.424,0.250,0.168
6.490,0.300,0.201
7.549,0.350,0.235
8.602,0.400,0.268
9.649,0.450,0.302
10.690,0.500,0.335
11.724,0.550,0.369
12.751,0.600,0.402
13.773,0.650,0.436
14.788,0.700,0.469
15.797,0.750,0.503
16.799,0.800,0.536
17.795,0.850,0.570
18.785,0.900,0.603
19.768,0.950,0.637
20.746,1.000,0.670
21.716,1.050,0.704
22.681,1.100,0.737
23.639,1.150,0.771
24.591,1.200,0.804
25.537,1.250,0.838
26.476,1.300,0.871
27.409,1.350,0.905
28.336,1.400,0.938
29.257,1.450,0.972
30.171,1.500,1.005
31.079,1.550,1.039
31.980,1.600,1.072
32.876,1.650,1.106
33.765,1.700,1.139
34.648,1.750,1.173
35.524,1.800,1.206
36.395,1.850,1.240
37.259,1.900,1.273
38.117,1.950,1.307
38.968,2.000,1.340
39.814,2.050,1.374
40.653,2.100,1.407
41.486,2.150,1.441
42.313,2.200,1.474
43.133,2.250,1.508
43.948,2.300,1.541
44.756,2.350,1.575
45.558,2.400,1.608
46.353,2.450,1.641
47.143,2.500,1.675
47.926,2.550,1.709
48.704,2.600,1.742
49.475,2.650,1.776
50.240,2.700,1.809
50.998,2.750,1.843
51.751,2.800,1.876
52.497,2.850,1.910
53.238,2.900,1.943
53.972,2.950,1.976
54.700,3.000,2.010
55.422,3.050,2.044
56.138,3.100,2.077
56.847,3.150,2.111
57.551,3.200,2.144
58.248,3.250,2.178
58.940,3.300,2.211
59.625,3.350,2.245
60.305,3.400,2.278
60.978,3.450,2.312
61.645,3.500,2.345
62.306,3.550,2.379
62.962,3.600,2.412
63.611,3.650,2.446
64.254,3.700,2.479
64.891,3.750,2.513
65.522,3.800,2.546
66.148,3.850,2.580
66.767,3.900,2.613
67.380,3.950,2.647
67.987,4.000,2.680
68.589,4.050,2.714
69.184,4.100,2.747
69.774,4.150,2.780
70.357,4.200,2.814
70.935,4.250,2.848
71.507,4.300,2.881
72.072,4.350,2.915
72.632,4.400,2.948
73.187,4.450,2.982
73.735,4.500,3.015
74.277,4.550,3.049
74.814,4.600,3.082
75.345,4.650,3.116
75.870,4.700,3.149
76.389,4.750,3.183
76.903,4.800,3.216
77.411,4.850,3.250
77.913,4.900,3.283
78.409,4.950,3.317
78.899,5.000,3.350
79.384,5.050,3.384
79.863,5.100,3.417
80.337,5.150,3.451
80.804,5.200,3.484
81.267,5.250,3.518
81.723,5.300,3.551
82.174,5.350,3.585
82.619,5.400,3.618
83.059,5.450,3.652
83.493,5.500,3.685
83.921,5.550,3.719
84.344,5.600,3.752
84.762,5.650,3.786
85.174,5.700,3.819
85.580,5.750,3.853
85.981,5.800,3.886
86.376,5.850,3.920
86.766,5.900,3.953
87.151,5.950,3.987
87.530,6.000,4.020
87.904,6.050,4.054
88.272,6.100,4.087
88.635,6.150,4.120
88.993,6.200,4.154
89.345,6.250,4.188
89.692,6.300,4.221
90.034,6.350,4.255
90.370,6.400,4.288
90.702,6.450,4.322
91.028,6.500,4.355
91.348,6.550,4.388
91.664,6.600,4.422
91.974,6.650,4.456
92.279,6.700,4.489
92.580,6.750,4.523
92.875,6.800,4.556
93.164,6.850,4.590
93.362,6.900,4.623
93.308,6.950,4.657
93.248,7.000,4.690
93.184,7.050,4.724
93.114,7.100,4.757
93.039,7.150,4.791
92.960,7.200,4.824
92.875,7.250,4.858
92.786,7.300,4.891
92.692,7.350,4.925
92.593,7.400,4.958
92.489,7.450,4.992
92.380,7.500,5.025
92.266,7.550,5.059
92.148,7.600,5.092
92.025,7.650,5.126
91.897,7.700,5.159
91.764,7.750,5.192
91.627,7.800,5.226
91.485,7.850,5.260
91.338,7.900,5.293
91.187,7.950,5.327
91.031,8.000,5.360
90.871,8.050,5.393
90.706,8.100,5.427
90.536,8.150,5.461
90.362,8.200,5.494
90.183,8.250,5.527
90.000,8.300,5.561
89.812,8.350,5.595
89.620,8.400,5.628
89.424,8.450,5.662
89.223,8.500,5.695
89.018,8.550,5.729
88.808,8.600,5.762
88.594,8.650,5.796
88.376,8.700,5.829
88.153,8.750,5.863
87.927,8.800,5.896
87.695,8.850,5.930
87.460,8.900,5.963
87.220,8.950,5.997
86.977,9.000,6.030
86.728,9.050,6.064
86.476,9.100,6.097
86.220,9.150,6.131
85.959,9.200,6.164
85.695,9.250,6.198
85.426,9.300,6.231
85.153,9.350,6.265
84.876,9.400,6.298
84.595,9.450,6.332
84.310,9.500,6.365
84.021,9.550,6.399
83.728,9.600,6.432
83.430,9.650,6.466
83.129,9.700,6.499
82.824,9.750,6.532
82.515,9.800,6.566
82.202,9.850,6.600
81.884,9.900,6.633
81.563,9.950,6.667
81.238,10.000,6.700
