mag2,spring_displacement
206,1.757464
207,1.9801220555555554
208,2.185694
210,2.333088
211,2.3541116666666664
212,2.46051925
213,2.6110889999999998
214,2.698466
216,2.8086599999999997
217,2.89783
218,2.987815
219,3.098629
220,3.10146
221,3.242113875
222,3.403638142857143
223,3.3502064285714286
224,3.5541495
225,3.599083
226,3.6970566666666667
227,3.8089816
228,3.7863930000000003
229,3.8921085
230,3.91413775
231,4.035565
232,4.077346666666666
233,4.18387
234,4.254264
235,4.353524999999999
236,4.40267
237,4.456543333333333
238,4.5771725
239,4.6233075
240,4.69706
241,4.74412
242,4.79138
243,4.890937083333333
244,4.993142199999999
245,5.0807424999999995
246,5.2292375
247,5.259453
248,5.3400886666666665
249,5.291583571428572
250,5.44118075
251,5.580585999999999
252,5.6583966000000006
253,5.756117
254,5.7708555
255,5.842210000000001
256,5.89034
257,5.995484
258,6.04497
260,6.15729
261,6.20292
262,6.27183
263,6.3877299999999995
264,6.419103333333333
265,6.52886
266,6.57642
268,6.7325645000000005
269,6.8477543
270,6.733872666666667
271,6.9313503333333335
272,7.006444
273,7.168764
274,7.176411333333334
275,7.263514000000001
276,7.308753333333333
277,7.3774315999999995
278,7.410522
279,7.534439
280,7.6069405
281,7.58584
282,7.686293333333334
283,7.7695300000000005
284,7.78115
285,7.83089
286,7.948353333333333
287,8.0389
288,8.08453
289,8.1304
290,8.17648
291,8.22278
293,8.26934
294,8.339680000000001
295,8.41047
296,8.505896666666667
298,8.60216
299,8.65071
300,8.69954
301,8.74865
302,8.856369166666667
303,8.998153357142858
304,9.184024
305,9.122342
306,9.0493
307,9.239444666666666
308,9.177755000000001
309,9.313863000000001
310,9.419591500000001
311,9.36093
312,9.563579
313,9.534743500000001
314,9.589689666666667
316,9.719682666666667
317,9.80288
318,9.847010000000001
319,9.9137
320,10.025870000000001
321,10.02576
322,10.116380000000001
323,10.16201
324,10.207880000000001
325,10.253960000000001
327,10.300260000000002
328,10.323540000000001
329,10.5165345
330,10.617608
331,10.676652500000001
332,10.868170600000003
333,10.644105000000001
334,10.831006000000002
335,10.679640000000001
336,10.855188000000002
337,10.77702
339,10.875603333333336
340,10.97513
341,11.02537
342,11.1583185
343,11.284471000000002
344,11.227585000000001
345,11.275210000000001
346,11.3472225
347,11.419745
348,11.38564
349,11.55127
350,11.517445000000002
351,11.566690000000001
352,11.6210275
353,11.720425000000002
354,11.82726191666667
355,11.894477333333334
356,12.014978750000001
357,12.144772000000001
358,12.206920000000002
359,12.094292500000002
360,12.1387745
361,12.374567500000001
362,12.170865333333333
363,12.318775500000001
364,12.279156666666667
365,12.253700000000002
366,12.532957750000001
367,12.351640000000002
368,12.5488335
369,12.595540500000002
370,12.784320000000001
371,12.664545
372,12.711865000000001
373,12.725884
374,12.962210000000002
375,12.906915000000001
376,13.052410000000002
377,12.858720000000002
378,13.097820000000002
379,13.0273
380,13.076620000000002
381,13.12424
382,13.107613333333335
383,13.231036666666668
384,13.328260000000002
385,13.331470000000001
387,13.445760000000002
388,13.516950000000001
390,13.56473
391,13.612770000000001
393,13.661080000000002
395,13.757843583333335
396,13.927837833333335
397,14.095624000000003
398,14.007397000000001
399,14.053107500000001
400,14.099039500000002
401,14.304727500000002
402,14.1903074
403,14.369899333333336
405,14.375327000000002
406,14.422899500000002
408,14.537339333333335
409,14.540780000000002
410,14.758610000000003
411,14.565263333333334
412,14.686980000000002
413,14.892370000000003
415,14.580170000000003
416,14.937360000000002
417,14.634370000000002
418,14.835735000000003
420,14.885890000000003
421,15.073610000000002
423,15.152710500000003
424,15.247601500000002
425,15.416387000000002
426,15.432630200000002
428,15.480872500000002
430,15.525454500000002
431,15.447110000000002
432,15.693446000000003
433,15.615299500000003
434,15.637432000000002
436,15.730255500000002
437,15.819559333333336
438,15.737730000000003
439,15.949714000000004
440,15.787110000000002
441,15.993089000000003
442,15.86175
444,15.986813500000002
445,16.080411
446,15.987520000000004
447,16.081355000000002
448,16.168460000000003
449,16.186600000000002
450,16.302220000000002
452,16.2314225
454,16.34483
455,16.43783
456,16.35001
457,16.443275000000003
458,16.50623416666667
459,16.654970111111115
460,16.604412333333336
461,16.66742866666667
462,16.791347000000002
463,16.781741666666672
464,16.880114500000005
465,16.924788000000003
466,16.948046333333338
467,17.038818000000006
468,17.126267000000002
469,17.151449000000003
470,17.197457000000004
471,17.340969625000003
472,17.428085000000003
473,17.475495000000002
474,17.523160000000004
475,17.558978000000003
476,17.89107384615385
477,18.008315000000003
478,18.157848571428577
479,18.309418000000004
480,18.696999
481,18.767769562500003
482,18.935645
484,18.976556000000002
485,18.846080000000004
487,19.017624
490,18.897530000000003
491,19.058852
494,19.024768
497,19.141764000000002
498,19.001390000000004
499,19.183525000000003
501,19.159670000000006
502,19.128613000000005
503,19.213110000000004
504,19.267516
505,19.2883445
506,19.352196000000003
507,19.437600000000003
508,19.398833
509,19.523784000000003
511,19.471399500000004
512,19.610727
513,19.430540000000004
514,19.654481
516,19.698400000000003
517,19.742530000000002
518,19.78693
520,19.83151
522,19.87629
524,19.921280000000003
525,19.989195000000002
526,20.1680705625
528,20.204357
529,20.392412
530,20.1034
531,20.291638
534,20.335552
536,20.439471333333334
537,20.31268
538,20.622207500000002
540,20.383470000000003
541,20.685756
542,20.5796905
544,20.624985000000002
546,20.670504
548,20.740527
549,20.57516
550,20.900719
551,20.8084135
553,20.8548455
555,21.03196
556,20.771030000000003
557,21.07609
558,20.97059
560,21.01786
561,20.946165
562,21.20985
563,21.0223
565,21.25484
566,21.073420000000002
567,21.30005
568,21.12487
569,21.34546
570,21.176640000000003
572,21.359151666666666
574,21.52934
575,21.387010000000004
576,21.5759
577,21.53158
579,21.58201
581,21.632740000000002
582,21.675150000000002
583,21.81237
585,21.86041
586,21.90872
588,21.95727
590,22.0061
591,22.079900000000002
594,22.15425
596,22.229329999999997
598,22.305
601,22.40709
604,22.5102
606,22.588505
608,22.66749
611,22.74729
613,22.82781
615,22.88201
617,22.93654
619,22.99144
