spring_displacement,mag2,interpolated_tension
0,429,0
0.0291886,431,0.0198482
0.0584066,431,0.0395483
0.0876977,430,0.0588805
0.117049,431,0.0785932
0.146443,432,0.0985814
0.175929,431,0.118113
0.20545,432,0.137706
0.235071,432,0.157848
0.264744,435,0.177731
0.294471,436,0.197351
0.324284,435,0.217513
0.354132,435,0.237727
0.384072,435,0.257487
0.414071,437,0.277568
0.444137,441,0.298013
0.474291,439,0.318032
0.504482,439,0.338048
0.534767,440,0.358641
0.565106,440,0.37897
0.595502,443,0.399031
0.626007,443,0.419685
0.656556,442,0.440327
0.687194,444,0.460548
0.717897,446,0.48117
0.748647,445,0.50208
0.779506,448,0.522474
0.810409,449,0.543078
0.841388,449,0.564144
0.872464,450,0.584826
0.903592,451,0.605442
0.934822,450,0.626679
0.966113,451,0.647634
0.997461,451,0.668324
1.02892,449,0.689664
1.06042,451,0.710879
1.09201,454,0.731726
1.1237,454,0.753115
1.15545,454,0.774594
1.18729,454,0.795613
1.21921,456,0.817065
1.25119,456,0.838784
1.28328,457,0.859965
1.31544,460,0.8815
1.34768,459,0.903422
1.38003,458,0.924821
1.41244,461,0.946456
1.4449,458,0.968534
1.47751,461,0.990159
1.51018,458,1.01192
1.54293,462,1.03419
1.57577,461,1.05601
1.60869,461,1.07791
1.64171,464,1.10036
1.67483,463,1.12239
1.70802,463,1.14445
1.74128,462,1.16707
1.77468,463,1.18929
1.80815,465,1.21154
1.84171,464,1.23436
1.87537,466,1.25674
1.90911,465,1.27919
1.94296,465,1.30221
1.97692,466,1.32477
2.01095,468,1.34744
2.04505,479,1.37064
2.0793,479,1.39334
2.11364,478,1.41627
2.14807,478,1.43969
2.18262,483,1.46253
2.21724,487,1.48573
2.25195,487,1.50929
2.28682,488,1.5323
2.32178,487,1.55581
2.35682,487,1.5795
2.39195,497,1.60269
2.42722,499,1.62597
2.46259,500,1.64956
2.49805,500,1.67367
2.53365,502,1.69788
2.56935,510,1.72177
2.60514,512,1.7455
2.64109,515,1.76994
2.67713,512,1.7939
2.71327,513,1.81802
2.74953,510,1.84268
2.78592,512,1.86671
2.82242,533,1.89125
2.85903,526,1.91596
2.89574,532,1.94019
2.93262,529,1.96453
2.96961,528,1.98933
