motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.251,0.050,0.034
2.495,0.100,0.067
3.734,0.150,0.101
4.967,0.200,0.134
6.194,0.250,0.168
7.415,0.300,0.201
8.630,0.350,0.235
9.839,0.400,0.268
11.043,0.450,0.302
12.240,0.500,0.335
13.432,0.550,0.369
14.617,0.600,0.402
15.797,0.650,0.436
16.971,0.700,0.469
18.139,0.750,0.503
19.301,0.800,0.536
20.457,0.850,0.570
21.607,0.900,0.603
22.751,0.950,0.637
23.890,1.000,0.670
25.023,1.050,0.704
26.149,1.100,0.737
27.270,1.150,0.771
28.385,1.200,0.804
29.494,1.250,0.838
30.597,1.300,0.871
31.695,1.350,0.905
32.786,1.400,0.938
33.872,1.450,0.972
34.952,1.500,1.005
36.026,1.550,1.039
37.094,1.600,1.072
38.156,1.650,1.106
39.213,1.700,1.139
40.263,1.750,1.173
41.308,1.800,1.206
42.347,1.850,1.240
43.380,1.900,1.273
44.408,1.950,1.307
45.429,2.000,1.340
46.445,2.050,1.374
47.455,2.100,1.407
48.459,2.150,1.441
49.457,2.200,1.474
50.450,2.250,1.508
51.436,2.300,1.541
52.417,2.350,1.575
53.393,2.400,1.608
54.362,2.450,1.641
55.326,2.500,1.675
56.284,2.550,1.709
57.236,2.600,1.742
58.182,2.650,1.776
59.123,2.700,1.809
60.058,2.750,1.843
60.987,2.800,1.876
61.910,2.850,1.910
62.828,2.900,1.943
63.740,2.950,1.976
64.647,3.000,2.010
65.547,3.050,2.044
66.442,3.100,2.077
67.332,3.150,2.111
68.215,3.200,2.144
69.093,3.250,2.178
69.965,3.300,2.211
70.832,3.350,2.245
71.693,3.400,2.278
72.548,3.450,2.312
73.398,3.500,2.345
74.242,3.550,2.379
75.081,3.600,2.412
75.914,3.650,2.446
76.741,3.700,2.479
77.563,3.750,2.513
78.379,3.800,2.546
79.189,3.850,2.580
79.994,3.900,2.613
80.794,3.950,2.647
81.587,4.000,2.680
82.376,4.050,2.714
83.159,4.100,2.747
83.936,4.150,2.780
84.708,4.200,2.814
85.474,4.250,2.848
86.235,4.300,2.881
86.990,4.350,2.915
87.740,4.400,2.948
88.484,4.450,2.982
89.223,4.500,3.015
89.957,4.550,3.049
90.685,4.600,3.082
91.408,4.650,3.116
92.125,4.700,3.149
92.837,4.750,3.183
93.543,4.800,3.216
94.245,4.850,3.250
94.940,4.900,3.283
95.631,4.950,3.317
96.316,5.000,3.350
96.996,5.050,3.384
97.670,5.100,3.417
98.340,5.150,3.451
99.004,5.200,3.484
99.662,5.250,3.518
100.316,5.300,3.551
100.964,5.350,3.585
101.607,5.400,3.618
102.245,5.450,3.652
102.878,5.500,3.685
103.505,5.550,3.719
104.127,5.600,3.752
104.745,5.650,3.786
105.357,5.700,3.819
105.963,5.750,3.853
106.565,5.800,3.886
107.162,5.850,3.920
107.754,5.900,3.953
108.340,5.950,3.987
108.922,6.000,4.020
109.498,6.050,4.054
110.070,6.100,4.087
110.636,6.150,4.120
111.198,6.200,4.154
111.755,6.250,4.188
112.306,6.300,4.221
112.853,6.350,4.255
113.395,6.400,4.288
113.932,6.450,4.322
114.464,6.500,4.355
114.991,6.550,4.388
115.514,6.600,4.422
116.032,6.650,4.456
116.545,6.700,4.489
117.053,6.750,4.523
117.556,6.800,4.556
118.055,6.850,4.590
118.549,6.900,4.623
119.038,6.950,4.657
119.522,7.000,4.690
120.002,7.050,4.724
120.477,7.100,4.757
120.948,7.150,4.791
121.414,7.200,4.824
121.876,7.250,4.858
122.333,7.300,4.891
122.785,7.350,4.925
123.233,7.400,4.958
123.676,7.450,4.992
124.115,7.500,5.025
124.550,7.550,5.059
124.980,7.600,5.092
125.405,7.650,5.126
125.826,7.700,5.159
126.243,7.750,5.192
126.656,7.800,5.226
127.064,7.850,5.260
127.468,7.900,5.293
127.867,7.950,5.327
128.263,8.000,5.360
128.654,8.050,5.393
129.041,8.100,5.427
129.423,8.150,5.461
129.802,8.200,5.494
130.176,8.250,5.527
130.546,8.300,5.561
130.912,8.350,5.595
131.274,8.400,5.628
131.632,8.450,5.662
131.986,8.500,5.695
132.336,8.550,5.729
132.682,8.600,5.762
133.023,8.650,5.796
133.361,8.700,5.829
133.695,8.750,5.863
134.025,8.800,5.896
134.351,8.850,5.930
134.673,8.900,5.963
134.991,8.950,5.997
135.305,9.000,6.030
135.615,9.050,6.064
135.922,9.100,6.097
136.225,9.150,6.131
136.523,9.200,6.164
136.819,9.250,6.198
137.110,9.300,6.231
137.397,9.350,6.265
137.681,9.400,6.298
137.961,9.450,6.332
138.238,9.500,6.365
138.510,9.550,6.399
138.779,9.600,6.432
139.045,9.650,6.466
139.306,9.700,6.499
139.564,9.750,6.532
139.819,9.800,6.566
140.069,9.850,6.600
140.316,9.900,6.633
140.560,9.950,6.667
140.800,10.000,6.700
