mag4,spring_displacement_fit
210,1.3757359500000002
211,1.42164505
212,1.5373485
213,1.6311475
214,1.702129
215,1.749816
216,1.797766
217,1.845981
218,1.9188875
219,1.992386
220,2.0666375
222,2.1666540000000003
223,2.242473
224,2.2934330000000003
225,2.370555
226,2.44838
227,2.5801275
228,2.740835
229,2.8377907
230,2.93719995
231,2.979152333333333
232,3.1010916666666666
233,3.1933306448262644
234,3.2753427469387866
235,3.3308875706020125
236,3.3928543333333336
237,3.415378
238,3.4941286666666667
239,3.659501
240,3.775799
241,3.848736666666667
242,3.908603333333333
243,3.94099
244,4.036905
245,4.058797144826265
246,4.268002835222409
247,4.37015
248,4.4408107
249,4.549684898128076
250,4.58417788177477
251,4.62957374693879
252,4.690123070602013
253,4.8545855
254,4.878201635641141
255,4.945469176494816
256,5.132556835222409
258,5.171201666666666
259,5.3006508
260,5.326570861604072
261,5.421731285591669
262,5.576082835222409
263,5.642108
264,5.691225
265,5.742427144826265
266,5.787147608915023
267,5.9001040112979934
268,5.932902
269,5.937286
270,6.086036999999999
271,6.1381295
272,6.190578
273,6.243383
274,6.272441611604073
275,6.333837785591668
276,6.463880197197572
277,6.558923140318959
278,6.564856
279,6.6526386666666655
280,6.725745
281,6.7729
282,6.8085
283,6.85454
284,6.977371142857143
285,7.064093
286,7.1090335
287,7.185997499999999
288,7.279785333333333
289,7.336660333333334
290,7.360929144826265
291,7.480535197197572
292,7.559108285591669
293,7.604760332844646
294,7.69118236499067
295,7.709133285591669
296,7.811045197197571
297,7.862097442686224
298,7.906574364990671
299,7.914827155586803
300,7.966947614197853
302,8.046968180417698
303,8.051097854051209
304,8.244934824461872
305,8.2676198
306,8.297334779672505
307,8.402705372518556
308,8.41343860343731
309,8.4950048531213
310,8.538404120717876
311,8.59511780343731
312,8.660389787222833
313,8.72800072697706
314,8.75505432663894
315,8.822628635511949
316,8.889151520717878
317,9.025671741680616
318,9.069471076638939
319,9.1551544
320,9.168338666666664
321,9.211779584582818
322,9.26436023190557
323,9.295108686217503
324,9.365894140538497
325,9.381709999999998
326,9.4505127555868
327,9.569112321735382
328,9.619526258454648
329,9.64148859708574
330,9.727291741680617
331,9.80134227663894
332,9.855244
333,9.950768666666669
334,9.993797155586801
335,10.059536741680617
336,10.066716938395427
337,10.106761628494972
338,10.169693585221228
339,10.194794536346757
340,10.27709043830336
341,10.315563900775357
342,10.355056073177703
343,10.393255
344,10.408759536346757
345,10.49459043830336
346,10.54063249134322
348,10.587457288185693
349,10.63208477387183
350,10.6487355
351,10.709401666666665
352,10.755904999999998
353,10.766134251249484
354,10.80974873190557
355,10.894172824461874
356,10.92509891791615
357,11.00517373190557
358,11.115555824461874
359,11.1388474
360,11.161627155586801
361,11.302113741680618
362,11.350563212210988
364,11.379019262331218
365,11.426130520780019
366,11.47020323190557
367,11.590805126705021
368,11.609225226504531
369,11.649891296571736
370,11.665907603437311
371,11.776792372518555
372,11.821189321735382
373,11.84829957891649
374,11.867105397731295
375,11.892069390831262
376,11.94686387438302
377,11.9565708531213
379,11.973815065119862
380,12.11297958
381,12.118752
382,12.179666155586801
383,12.20257060343731
385,12.32686671755446
387,12.3563105
388,12.5175775
389,12.519201
391,12.537434
392,12.592033
393,12.607388073177704
394,12.716708900775359
395,12.7327965
396,12.83281825
398,12.8880975
400,13.024065
401,13.0994
402,13.10905
403,13.24643842
405,13.273462217916151
407,13.314112646604771
408,13.385942771519025
409,13.397866346787966
410,13.450565265543597
411,13.467102094206497
