motor_step_angle,spring_displacement,tension
-0.000,0.000,0.000
1.328,0.050,0.034
2.650,0.100,0.067
3.966,0.150,0.101
5.277,0.200,0.134
6.581,0.250,0.168
7.880,0.300,0.201
9.172,0.350,0.234
10.459,0.400,0.268
11.740,0.450,0.302
13.015,0.500,0.335
14.284,0.550,0.369
15.547,0.600,0.402
16.804,0.650,0.436
18.056,0.700,0.469
19.301,0.750,0.503
20.541,0.800,0.536
21.774,0.850,0.570
23.002,0.900,0.603
24.224,0.950,0.636
25.440,1.000,0.670
26.651,1.050,0.704
27.855,1.100,0.737
29.054,1.150,0.770
30.246,1.200,0.804
31.433,1.250,0.838
32.614,1.300,0.871
33.789,1.350,0.905
34.958,1.400,0.938
36.122,1.450,0.972
37.279,1.500,1.005
38.431,1.550,1.039
39.577,1.600,1.072
40.717,1.650,1.105
41.851,1.700,1.139
42.980,1.750,1.173
44.103,1.800,1.206
45.219,1.850,1.240
46.330,1.900,1.273
47.436,1.950,1.307
48.535,2.000,1.340
49.629,2.050,1.374
50.716,2.100,1.407
51.798,2.150,1.441
52.875,2.200,1.474
53.945,2.250,1.508
55.010,2.300,1.541
56.069,2.350,1.575
57.122,2.400,1.608
58.169,2.450,1.641
59.211,2.500,1.675
60.247,2.550,1.709
61.277,2.600,1.742
62.302,2.650,1.776
63.320,2.700,1.809
64.333,2.750,1.843
65.341,2.800,1.876
66.342,2.850,1.910
67.338,2.900,1.943
68.328,2.950,1.976
69.313,3.000,2.010
70.291,3.050,2.044
71.264,3.100,2.077
72.232,3.150,2.111
73.194,3.200,2.144
74.150,3.250,2.178
75.100,3.300,2.211
76.045,3.350,2.245
76.984,3.400,2.278
77.918,3.450,2.312
78.845,3.500,2.345
79.768,3.550,2.379
80.684,3.600,2.412
81.596,3.650,2.446
82.501,3.700,2.479
83.401,3.750,2.513
84.295,3.800,2.546
85.184,3.850,2.580
86.067,3.900,2.613
86.945,3.950,2.647
87.817,4.000,2.680
88.684,4.050,2.714
89.545,4.100,2.747
90.401,4.150,2.781
91.251,4.200,2.814
92.095,4.250,2.848
92.934,4.300,2.881
93.768,4.350,2.915
94.596,4.400,2.948
95.419,4.450,2.982
96.236,4.500,3.015
97.048,4.550,3.049
97.855,4.600,3.082
98.656,4.650,3.116
99.452,4.700,3.149
100.242,4.750,3.183
101.027,4.800,3.216
101.806,4.850,3.250
102.581,4.900,3.283
103.350,4.950,3.317
104.113,5.000,3.350
104.872,5.050,3.384
105.625,5.100,3.417
106.372,5.150,3.451
107.115,5.200,3.484
107.852,5.250,3.518
108.584,5.300,3.551
109.311,5.350,3.585
110.032,5.400,3.618
110.748,5.450,3.652
111.460,5.500,3.685
112.166,5.550,3.719
112.866,5.600,3.752
113.562,5.650,3.786
114.253,5.700,3.819
114.938,5.750,3.853
115.618,5.800,3.886
116.294,5.850,3.920
116.964,5.900,3.953
117.629,5.950,3.987
118.289,6.000,4.020
118.944,6.050,4.054
119.594,6.100,4.087
120.240,6.150,4.121
120.880,6.200,4.154
121.515,6.250,4.188
122.145,6.300,4.221
122.771,6.350,4.255
123.391,6.400,4.288
124.007,6.450,4.322
124.618,6.500,4.355
125.224,6.550,4.389
125.825,6.600,4.422
126.421,6.650,4.456
127.013,6.700,4.489
127.599,6.750,4.522
128.181,6.800,4.556
128.759,6.850,4.590
129.331,6.900,4.623
129.899,6.950,4.657
130.462,7.000,4.690
131.021,7.050,4.724
131.575,7.100,4.757
132.124,7.150,4.791
132.669,7.200,4.824
133.209,7.250,4.857
133.745,7.300,4.891
134.276,7.350,4.925
134.802,7.400,4.958
135.324,7.450,4.992
135.842,7.500,5.025
136.355,7.550,5.059
136.864,7.600,5.092
137.368,7.650,5.126
137.868,7.700,5.159
138.364,7.750,5.192
138.855,7.800,5.226
139.342,7.850,5.260
139.825,7.900,5.293
140.303,7.950,5.327
140.777,8.000,5.360
141.247,8.050,5.394
141.713,8.100,5.427
142.174,8.150,5.461
142.631,8.200,5.494
143.084,8.250,5.528
143.533,8.300,5.561
143.978,8.350,5.595
144.419,8.400,5.628
144.856,8.450,5.662
145.288,8.500,5.695
145.717,8.550,5.729
146.141,8.600,5.762
146.562,8.650,5.796
146.978,8.700,5.829
147.391,8.750,5.863
147.800,8.800,5.896
148.204,8.850,5.929
148.605,8.900,5.963
149.002,8.950,5.997
149.395,9.000,6.030
149.784,9.050,6.064
150.170,9.100,6.097
150.551,9.150,6.131
150.929,9.200,6.164
151.303,9.250,6.198
151.673,9.300,6.231
152.039,9.350,6.265
152.402,9.400,6.298
152.761,9.450,6.332
153.116,9.500,6.365
153.468,9.550,6.399
153.815,9.600,6.432
154.159,9.650,6.466
154.500,9.700,6.499
154.837,9.750,6.533
155.170,9.800,6.566
155.499,9.850,6.600
155.825,9.900,6.633
156.147,9.950,6.667
156.466,10.000,6.700
