mag4,spring_displacement_fit
200,3.0833125388603504
201,3.067468781516072
202,3.0523842680429523
203,3.031805069497103
204,3.0251092639438446
205,3.016092346357001
206,3.0046522501531836
207,2.9930409307423043
208,2.985979504678291
209,2.9788412430000037
210,2.9667762384639524
211,2.9569858301712078
212,2.944321894840566
213,2.9322748536575247
214,2.9168328454082464
215,2.8973018630339737
216,2.8866060834662157
217,2.881869944125122
218,2.8702377665036654
219,2.8646171719952873
220,2.856859563158514
221,2.84487072080145
222,2.8337910526480776
223,2.825479688030857
224,2.8196726799312346
225,2.8127055195712694
226,2.802422376048378
227,2.792363355445569
229,2.774329840229823
230,2.7664696163103333
231,2.7531909046489433
232,2.7477799587728104
233,2.742317819626013
234,2.7302285614073507
235,2.7147721528741133
236,2.699940304419568
237,2.6965415054760773
238,2.692310352839539
239,2.685649488123645
240,2.6671319616586793
241,2.6651980369913524
242,2.6512076474511708
243,2.644196774741939
244,2.6394769380197776
245,2.63233867634149
246,2.6251336805782293
247,2.6202858606794064
248,2.6104719888042736
249,2.5954976524130453
250,2.5853354834642843
251,2.5691522450303768
252,2.5550902706142846
253,2.5491584332091404
254,2.5474490502878107
255,2.5366428212385936
256,2.5216378393518943
257,2.512900936385809
258,2.511270583076068
259,2.5066739697752833
260,2.5
261,2.4851149573021027
262,2.475732361413905
263,2.472005192115438
264,2.464077594195092
265,2.4592914042902687
266,2.45403175281226
267,2.4397875299717002
268,2.4313901880847295
269,2.427899958873997
270,2.41576234521572
271,2.4107124947308822
272,2.4064904211493783
273,2.3974717209397167
274,2.3901062891228553
275,2.381494849664641
276,2.3767183346785297
277,2.366769471024204
278,2.365042002861125
279,2.3549314842658022
280,2.351263859927853
281,2.3414214251681376
282,2.3350776090134744
283,2.3240255504327805
284,2.312156569868754
285,2.3048854304191027
286,2.2919117453287554
287,2.28211111361797
288,2.2804879153248443
289,2.275009005817842
290,2.2638815020587595
291,2.2571355395045862
292,2.2527344799269122
293,2.2397736845707863
294,2.230485000802739
295,2.2210912489410894
296,2.216343987252501
297,2.211561987273104
298,2.2067479914995416
299,2.199457978340356
300,2.192097574434006
301,2.1846498677178623
302,2.17041593533415
303,2.165353052505265
304,2.1548967958904033
305,2.138405889327923
306,2.1375339889217253
307,2.1292402370064876
308,2.12604612473878
309,2.118156721052764
310,2.1085186179980786
311,2.0985546706122182
312,2.0907487407291088
313,2.0820318823108037
314,2.0808381423000952
315,2.078254473438879
316,2.0738828950727948
317,2.0697466352378884
318,2.061715162459511
319,2.052968129611914
320,2.029908672387617
321,2.021992361364565
322,2.010929137525784
323,2.0097904300655784
324,1.993162114441271
325,1.9850078769717447
326,1.9805596504006913
327,1.977336165306093
328,1.976519198127153
329,1.9743248482136522
330,1.9726685897170093
331,1.9593281340118267
332,1.9490985958509883
333,1.942463244463144
334,1.941663019672809
335,1.9301324667880586
336,1.9247448321333893
337,1.9193096608702456
338,1.9138251246675324
339,1.9066770879476398
340,1.8993667433113588
341,1.8965469161022368
342,1.8774364008361673
343,1.8729575883995073
344,1.8652702728981398
345,1.8649167193726128
346,1.8510548249417995
347,1.8482774437417597
348,1.843281894690448
349,1.8343902863460386
350,1.8318269890047598
352,1.8167850805434727
353,1.8115249719826911
354,1.807701017497159
355,1.8038103289266536
356,1.7984409775829358
357,1.794480882664436
358,1.7885997707886827
359,1.7800165871275675
360,1.7772778861701883
361,1.7733630676461798
362,1.7654891042162624
363,1.7605809524725473
364,1.74986752254465
365,1.7436307804572022
366,1.7386016662942014
367,1.7337555833099194
368,1.727480150836876
369,1.721928374717685
370,1.7120163928507273
371,1.7070205514880896
372,1.7045779993425207
373,1.7001266794087888
374,1.6914129673659801
375,1.684028757528757
376,1.6811342968078749
377,1.6781101017169888
378,1.6777217682016023
379,1.664985167593144
380,1.6596792725854894
381,1.6568554640771498
382,1.6549432957769148
383,1.638266658653086
384,1.636104819699984
385,1.6318756653456008
386,1.627046808183399
387,1.6256764795742584
388,1.6214936315282538
389,1.6120510725156154
390,1.6065828282733348
391,1.5976119470034904
392,1.5886173369543497
393,1.586797877281951
394,1.583828552366616
395,1.5813150104168863
396,1.578946630029287
397,1.5774592269950707
398,1.5683789398258436
399,1.5585300502196469
400,1.5545359431589312
401,1.5502123584847105
402,1.546907260639512
403,1.5456750621539956
404,1.538757233587572
405,1.5338270752628722
406,1.5264873223562423
407,1.521199365265663
408,1.5188642268853583
409,1.5115332021951944
410,1.5009024889011897
411,1.5002528843194005
412,1.4947377359813667
413,1.4871890279691888
415,1.4830294569443603
417,1.4785362945610634
419,1.466118159877761
420,1.4571889385652719
421,1.451228919209437
422,1.4500349049490642
423,1.4473785610120338
424,1.4394286774771983
425,1.435481271606414
426,1.4315011033965146
427,1.426726182204908
428,1.422669580426463
429,1.4071195530704255
430,1.400606690724301
431,1.3951641595918953
432,1.391097006598522
433,1.3777810503091144
434,1.3754917740907229
435,1.3656684863104505
437,1.3637213441662872
438,1.3588916704535838
439,1.3562946023133684
440,1.347739841119104
442,1.3358752385783805
443,1.333071479825236
444,1.3252586477004418
445,1.3232760067752303
446,1.3180138601492186
447,1.3116253628873251
448,1.3104727896368829
449,1.3081477181508794
450,1.3038376579791646
451,1.2955461686236567
452,1.2923500035481557
453,1.2880173435820106
454,1.2830088373878477
455,1.281825915002785
456,1.2763797737530704
458,1.2703828477609382
459,1.2646757122473893
460,1.2600107254580826
461,1.253315399841737
462,1.2430779341240403
463,1.2323156080228423
464,1.229541408812679
465,1.2161390545177226
466,1.2153114735382606
467,1.2119534837782706
468,1.2019839769015421
469,1.1937334868835556
470,1.1918562100568275
471,1.1781268757248506
472,1.1767261381674232
473,1.1672991916490831
474,1.1667681663093181
475,1.1617735403387361
476,1.1611497270898359
477,1.155147646107861
478,1.1476045283312684
479,1.1446709154025436
480,1.1190931728249218
481,1.0981735303228146
482,1.0887183160641825
483,1.0695574107577097
484,1.0412060896910678
485,1.0304058186795317
486,1.0092392199911173
487,1.0080034336465076
488,1.0074760509616838
490,1.0060251811846639
492,1.0059678218090853
493,1.002124579203739
495,1.000076939020472
496,0.997342579224342
498,0.9941248071401709
499,0.9930559273442756
500,0.9886823989594595
501,0.9864902461028344
502,0.9691753556539751
504,0.9642909691332489
506,0.9593727584872624
507,0.9544207237160154
