spring_displacement,mag2,interpolated_tension
0,429,0
0.0291886,429,0.0566258
0.0584066,429,0.113477
0.0876977,429,0.170888
0.117049,430,0.228757
0.146443,430,0.286958
0.175929,431,0.34534
0.20545,432,0.404009
0.235071,432,0.463844
0.264744,433,0.523784
0.294471,433,0.583831
0.324284,434,0.644539
0.354132,434,0.705511
0.384072,434,0.767188
0.414071,435,0.828986
0.444137,436,0.890922
0.474291,436,0.954011
0.504482,437,1.01741
0.534767,437,1.08101
0.565106,438,1.14503
0.595502,439,1.20946
0.626007,440,1.27466
0.656556,441,1.34016
0.687194,442,1.40634
0.717897,443,1.47301
0.748647,443,1.54005
0.779506,444,1.60791
0.810409,445,1.67611
0.841388,446,1.74488
0.872464,446,1.81387
0.903592,447,1.88312
0.934822,447,1.9537
0.966113,448,2.02442
0.997461,448,2.09526
1.02892,449,2.16751
1.06042,450,2.23997
1.09201,450,2.31262
1.1237,450,2.38646
1.15545,452,2.46074
1.18729,453,2.53527
1.21921,454,2.61034
1.25119,455,2.68585
1.28328,455,2.76287
1.31544,455,2.84006
1.34768,455,2.91743
1.38003,456,2.99628
1.41244,456,3.07534
1.4449,457,3.15456
1.47751,458,3.23523
1.51018,459,3.31646
1.54293,459,3.39832
1.57577,460,3.48043
1.60869,459,3.56306
1.64171,459,3.64695
1.67483,459,3.73158
1.70802,459,3.81684
1.74128,460,3.90334
1.77468,460,3.99017
1.80815,461,4.07736
1.84171,462,4.16528
1.87537,463,4.25449
1.90911,464,4.3444
1.94296,464,4.43513
1.97692,465,4.52669
2.01095,465,4.61878
2.04505,465,4.71155
2.0793,465,4.80587
2.11364,468,4.90091
2.14807,472,4.99664
2.18262,476,5.09333
2.21724,480,5.19063
2.25195,484,5.28858
2.28682,485,5.38831
2.32178,485,5.48872
2.35682,487,5.58977
2.39195,489,5.69167
2.42722,492,5.79504
2.46259,496,5.89926
2.49805,500,6.00423
2.53365,502,6.11029
2.56935,505,6.21743
2.60514,506,6.32573
2.64109,507,6.43572
2.67713,508,6.54601
2.71327,509,6.65714
2.74953,508,6.76954
2.78592,508,6.88378
2.82242,511,6.99885
2.85903,514,7.1149
2.89574,518,7.23237
2.93262,522,7.35104
2.96961,525,7.47092
