mag2,spring_displacement
210,1.6940048666666667
211,1.8303458571428572
212,2.0201919999999998
213,2.1180226666666666
215,2.3628514285714286
216,2.4378495
217,2.5328633333333332
219,2.68304
220,2.915545
221,2.9081233333333336
222,2.97875
223,3.046662
224,3.28103
227,3.32515
228,3.3917
229,3.4587399999999997
230,3.7160154000000003
231,3.7759760000000004
232,3.7588399999999997
233,3.8838325
234,4.045091333333333
235,4.1409692
236,3.9924253333333333
237,4.2320495000000005
238,4.2764825
239,4.3211189999999995
240,4.48789
241,4.532151428571429
242,4.610885000000001
243,4.657095
244,4.70354
245,4.7502200000000006
246,4.926955
247,5.144215000000001
248,5.2103
249,5.25459
250,5.299110000000001
251,5.34389
252,5.388850000000001
253,5.4339900000000005
254,5.710815173333333
256,5.69423
257,5.986104666666667
258,6.09550575
259,6.081901666666667
260,6.06974075
261,6.238766
262,6.2836295
263,6.420195
264,6.400336
265,6.6063525
266,6.498955
267,6.75337
268,6.50638
269,6.637755
270,6.684485
271,6.989155
272,6.988975
273,7.119875
275,7.208105
278,7.27477
279,7.383640199999999
280,7.624486857142856
281,7.661436999999999
282,7.63615
283,7.944679999999999
284,8.00749875
285,7.955346
286,7.9991795
287,8.0432425
288,8.016599600000001
289,8.065909999999999
290,8.34267
291,8.30809
292,8.42287
294,8.59356
295,8.42445
296,8.678569999999999
297,8.432026666666665
298,8.610214999999998
299,8.89438
300,8.938099999999999
301,8.98203
303,9.02615
304,9.085983866666666
305,9.280124142857144
306,9.313365999999998
307,9.3537235
308,9.395902499999998
309,9.62664
310,9.554631714285714
311,9.5198225
312,9.639322666666667
313,9.907497
314,9.783647
315,9.71376
316,9.895207666666666
317,10.112848333333332
318,9.972511999999998
319,10.1142025
320,10.280054999999999
321,9.95482
323,10.00383
325,10.3163475
326,10.623125
327,10.4806192
328,10.394297374999999
329,10.361759514285714
330,10.526288
331,10.611607999999999
332,10.536235
333,10.5514225
334,10.843705
335,10.869359499999998
336,10.918160666666665
337,10.974834
338,11.05513425
339,11.052389
340,11.093304999999999
341,11.161415
342,11.134378
343,11.1916325
344,11.254135
345,11.237739999999999
346,11.300875
347,11.418997499999998
348,11.34215
