spring_displacement,mag4,interpolated_tension
0,379,0
0.0456621,379,0.0310502
0.0915519,380,0.0614242
0.137708,380,0.0926414
0.184076,380,0.12349
0.230701,380,0.154877
0.277611,380,0.186223
0.324764,381,0.217839
0.372169,382,0.249632
0.419856,383,0.281502
0.467806,385,0.313752
0.516021,387,0.345894
0.564522,388,0.378585
0.613333,388,0.411067
0.662426,389,0.444201
0.711817,389,0.477036
0.761538,391,0.510615
0.811546,392,0.543851
0.861842,393,0.577816
0.912513,395,0.611509
0.963473,396,0.645892
1.01478,396,0.680049
1.06641,398,0.714829
1.11842,400,0.749528
1.17075,401,0.784692
1.22344,402,0.819939
1.27652,403,0.855502
1.32996,403,0.891371
1.38376,403,0.927285
1.43799,405,0.963833
1.49261,407,1.00013
1.54758,410,1.03735
1.60302,412,1.07405
1.65893,414,1.1119
1.71523,416,1.14936
1.77201,418,1.18752
1.82922,420,1.22587
1.88688,422,1.26434
1.94499,424,1.3036
2.00361,425,1.34245
2.0628,425,1.38245
2.12246,427,1.42227
2.18261,429,1.46252
2.24336,431,1.50349
2.30463,433,1.54415
2.3665,435,1.58589
2.42895,435,1.62711
2.49197,437,1.66954
2.55565,439,1.71273
2.61999,440,1.75559
2.68494,441,1.79906
2.75053,444,1.84335
2.81689,444,1.88748
2.88392,444,1.93238
2.95171,447,1.97716
