spring_displacement,mag4,interpolated_tension
0,499,0
0.0456621,500,0.0310502
0.0915519,499,0.0614242
0.137708,499,0.0926414
0.184076,499,0.12349
0.230701,500,0.154877
0.277611,499,0.186223
0.324764,502,0.217839
0.372169,505,0.249632
0.419856,508,0.281502
0.467806,511,0.313752
0.516021,514,0.345894
0.564522,516,0.378585
0.613333,518,0.411067
0.662426,519,0.444201
0.711817,521,0.477036
0.761538,523,0.510615
0.811546,523,0.543851
0.861842,525,0.577816
0.912513,528,0.611509
0.963473,530,0.645892
1.01478,532,0.680049
1.06641,534,0.714829
1.11842,535,0.749528
1.17075,534,0.784692
1.22344,534,0.819939
1.27652,536,0.855502
1.32996,538,0.891371
1.38376,540,0.927285
1.43799,542,0.963833
1.49261,545,1.00013
1.54758,545,1.03735
1.60302,547,1.07405
1.65893,549,1.1119
1.71523,552,1.14936
1.77201,554,1.18752
1.82922,556,1.22587
1.88688,557,1.26434
1.94499,559,1.3036
2.00361,562,1.34245
2.0628,565,1.38245
2.12246,568,1.42227
2.18261,570,1.46252
2.24336,570,1.50349
2.30463,573,1.54415
2.3665,576,1.58589
2.42895,579,1.62711
2.49197,582,1.66954
2.55565,585,1.71273
2.61999,584,1.75559
2.68494,585,1.79906
2.75053,588,1.84335
2.81689,590,1.88748
2.88392,594,1.93238
2.95171,597,1.97716
