spring_displacement,mag4,interpolated_tension
0,210,0
0.0456621,211,0.0310502
0.0915519,210,0.0614242
0.137708,211,0.0926414
0.184076,212,0.12349
0.230701,212,0.154877
0.277611,213,0.186223
0.324764,213,0.217839
0.372169,214,0.249632
0.419856,215,0.281502
0.467806,216,0.313752
0.516021,217,0.345894
0.564522,218,0.378585
0.613333,218,0.411067
0.662426,219,0.444201
0.711817,220,0.477036
0.761538,220,0.510615
0.811546,222,0.543851
0.861842,222,0.577816
0.912513,223,0.611509
0.963473,224,0.645892
1.01478,225,0.680049
1.06641,225,0.714829
1.11842,226,0.749528
1.17075,227,0.784692
1.22344,227,0.819939
1.27652,227,0.855502
1.32996,227,0.891371
1.38376,228,0.927285
1.43799,228,0.963833
1.49261,229,1.00013
1.54758,231,1.03735
1.60302,232,1.07405
1.65893,232,1.1119
1.71523,234,1.14936
1.77201,235,1.18752
1.82922,236,1.22587
1.88688,237,1.26434
1.94499,238,1.3036
2.00361,237,1.34245
2.0628,237,1.38245
2.12246,237,1.42227
2.18261,237,1.46252
2.24336,238,1.50349
2.30463,239,1.54415
2.3665,240,1.58589
2.42895,241,1.62711
2.49197,242,1.66954
2.55565,240,1.71273
2.61999,241,1.75559
2.68494,242,1.79906
2.75053,244,1.84335
2.81689,246,1.88748
2.88392,251,1.93238
2.95171,252,1.97716
