spring_displacement,mag4,interpolated_tension
0,475,0
0.0456621,476,0.0310502
0.0915519,476,0.0614242
0.137708,476,0.0926414
0.184076,477,0.12349
0.230701,478,0.154877
0.277611,479,0.186223
0.324764,480,0.217839
0.372169,480,0.249632
0.419856,480,0.281502
0.467806,481,0.313752
0.516021,482,0.345894
0.564522,483,0.378585
0.613333,484,0.411067
0.662426,485,0.444201
0.711817,487,0.477036
0.761538,486,0.510615
0.811546,486,0.543851
0.861842,487,0.577816
0.912513,488,0.611509
0.963473,488,0.645892
1.01478,492,0.680049
1.06641,493,0.714829
1.11842,494,0.749528
1.17075,495,0.784692
1.22344,495,0.819939
1.27652,495,0.855502
1.32996,495,0.891371
1.38376,496,0.927285
1.43799,497,0.963833
1.49261,497,1.00013
1.54758,497,1.03735
1.60302,498,1.07405
1.65893,499,1.1119
1.71523,498,1.14936
1.77201,499,1.18752
1.82922,501,1.22587
1.88688,502,1.26434
1.94499,504,1.3036
2.00361,507,1.34245
2.0628,511,1.38245
2.12246,513,1.42227
2.18261,517,1.46252
2.24336,520,1.50349
2.30463,523,1.54415
2.3665,523,1.58589
2.42895,525,1.62711
2.49197,525,1.66954
2.55565,527,1.71273
2.61999,529,1.75559
2.68494,532,1.79906
2.75053,535,1.84335
2.81689,537,1.88748
2.88392,536,1.93238
2.95171,538,1.97716
