spring_displacement,mag4,interpolated_tension
0,284,0
0.0456621,284,0.0310502
0.0915519,284,0.0614242
0.137708,284,0.0926414
0.184076,284,0.12349
0.230701,285,0.154877
0.277611,285,0.186223
0.324764,286,0.217839
0.372169,287,0.249632
0.419856,287,0.281502
0.467806,288,0.313752
0.516021,289,0.345894
0.564522,290,0.378585
0.613333,291,0.411067
0.662426,291,0.444201
0.711817,292,0.477036
0.761538,293,0.510615
0.811546,294,0.543851
0.861842,295,0.577816
0.912513,296,0.611509
0.963473,297,0.645892
1.01478,297,0.680049
1.06641,298,0.714829
1.11842,299,0.749528
1.17075,300,0.784692
1.22344,302,0.819939
1.27652,303,0.855502
1.32996,303,0.891371
1.38376,303,0.927285
1.43799,305,0.963833
1.49261,306,1.00013
1.54758,307,1.03735
1.60302,309,1.07405
1.65893,310,1.1119
1.71523,310,1.14936
1.77201,310,1.18752
1.82922,310,1.22587
1.88688,311,1.26434
1.94499,313,1.3036
2.00361,314,1.34245
2.0628,316,1.38245
2.12246,317,1.42227
2.18261,319,1.46252
2.24336,320,1.50349
2.30463,322,1.54415
2.3665,323,1.58589
2.42895,324,1.62711
2.49197,324,1.66954
2.55565,326,1.71273
2.61999,327,1.75559
2.68494,329,1.79906
2.75053,330,1.84335
2.81689,332,1.88748
2.88392,331,1.93238
2.95171,332,1.97716
