spring_displacement,mag2,interpolated_tension
0,328,0
0.039968,329,0.0271783
0.0801045,329,0.053869
0.120379,329,0.0808579
0.160787,330,0.108119
0.201345,330,0.134914
0.242095,331,0.162624
0.283006,331,0.189784
0.324074,331,0.21737
0.365302,331,0.245099
0.406686,332,0.272547
0.448214,332,0.300786
0.489975,333,0.328383
0.531879,334,0.356678
0.573966,334,0.384818
0.616229,334,0.413036
0.658646,336,0.441706
0.701241,329,0.469844
0.74405,330,0.498954
0.787048,331,0.527452
0.830234,332,0.556559
0.873609,332,0.585582
0.917177,342,0.61468
0.960931,343,0.644214
1.00485,344,0.673301
1.04898,345,0.70331
1.09338,346,0.732633
1.13796,346,0.762811
1.18274,347,0.792605
1.22773,349,0.822855
1.27294,350,0.853139
1.31835,351,0.883479
1.36398,352,0.914225
1.40985,353,0.9447
1.45593,354,0.975911
1.50223,354,1.00652
1.54879,356,1.03818
1.5956,359,1.0691
1.64266,360,1.10101
1.68992,362,1.13235
1.73748,362,1.16448
1.78526,364,1.19627
1.8333,363,1.22864
1.88161,364,1.26086
1.93016,365,1.29351
1.97899,366,1.32613
2.0281,367,1.35911
2.07748,368,1.39213
2.12714,369,1.42546
2.1771,371,1.45889
2.22734,372,1.49259
2.27789,373,1.52641
2.32875,373,1.56055
2.37987,373,1.59471
2.43132,373,1.62867
2.48309,375,1.6635
2.53518,377,1.69892
2.58761,379,1.73382
2.64038,380,1.76946
2.69346,382,1.80469
2.7469,382,1.84089
2.8007,381,1.87648
2.8549,383,1.91324
2.90943,383,1.94922
2.96433,385,1.98575
