spring_displacement,mag2,interpolated_tension
0,302,0
0.039968,302,0.0271783
0.0801045,303,0.053869
0.120379,303,0.0808579
0.160787,302,0.108119
0.201345,303,0.134914
0.242095,303,0.162624
0.283006,303,0.189784
0.324074,303,0.21737
0.365302,304,0.245099
0.406686,304,0.272547
0.448214,305,0.300786
0.489975,307,0.328383
0.531879,307,0.356678
0.573966,309,0.384818
0.616229,310,0.413036
0.658646,310,0.441706
0.701241,310,0.469844
0.74405,312,0.498954
0.787048,312,0.527452
0.830234,313,0.556559
0.873609,314,0.585582
0.917177,316,0.61468
0.960931,316,0.644214
1.00485,317,0.673301
1.04898,318,0.70331
1.09338,319,0.732633
1.13796,319,0.762811
1.18274,320,0.792605
1.22773,321,0.822855
1.27294,320,0.853139
1.31835,322,0.883479
1.36398,323,0.914225
1.40985,324,0.9447
1.45593,325,0.975911
1.50223,327,1.00652
1.54879,329,1.03818
1.5956,330,1.0691
1.64266,331,1.10101
1.68992,332,1.13235
1.73748,333,1.16448
1.78526,333,1.19627
1.8333,334,1.22864
1.88161,335,1.26086
1.93016,336,1.29351
1.97899,337,1.32613
2.0281,339,1.35911
2.07748,339,1.39213
2.12714,339,1.42546
2.1771,340,1.45889
2.22734,341,1.49259
2.27789,342,1.52641
2.32875,344,1.56055
2.37987,345,1.59471
2.43132,346,1.62867
2.48309,346,1.6635
2.53518,347,1.69892
2.58761,348,1.73382
2.64038,350,1.76946
2.69346,351,1.80469
2.7469,352,1.84089
2.8007,352,1.87648
2.8549,352,1.91324
2.90943,353,1.94922
2.96433,355,1.98575
