spring_displacement,mag2,interpolated_tension
0,481,0
0.039968,481,0.0271783
0.0801045,481,0.053869
0.120379,481,0.0808579
0.160787,480,0.108119
0.201345,481,0.134914
0.242095,482,0.162624
0.283006,484,0.189784
0.324074,487,0.21737
0.365302,491,0.245099
0.406686,494,0.272547
0.448214,497,0.300786
0.489975,499,0.328383
0.531879,502,0.356678
0.573966,504,0.384818
0.616229,505,0.413036
0.658646,506,0.441706
0.701241,508,0.469844
0.74405,507,0.498954
0.787048,508,0.527452
0.830234,509,0.556559
0.873609,511,0.585582
0.917177,512,0.61468
0.960931,514,0.644214
1.00485,516,0.673301
1.04898,517,0.70331
1.09338,518,0.732633
1.13796,520,0.762811
1.18274,522,0.792605
1.22773,524,0.822855
1.27294,525,0.853139
1.31835,525,0.883479
1.36398,528,0.914225
1.40985,530,0.9447
1.45593,531,0.975911
1.50223,534,1.00652
1.54879,536,1.03818
1.5956,537,1.0691
1.64266,537,1.10101
1.68992,540,1.13235
1.73748,542,1.16448
1.78526,544,1.19627
1.8333,546,1.22864
1.88161,549,1.26086
1.93016,548,1.29351
1.97899,551,1.32613
2.0281,553,1.35911
2.07748,556,1.39213
2.12714,558,1.42546
2.1771,560,1.45889
2.22734,561,1.49259
2.27789,561,1.52641
2.32875,563,1.56055
2.37987,566,1.59471
2.43132,568,1.62867
2.48309,570,1.6635
2.53518,572,1.69892
2.58761,572,1.73382
2.64038,572,1.76946
2.69346,575,1.80469
2.7469,577,1.84089
2.8007,579,1.87648
2.8549,581,1.91324
2.90943,582,1.94922
2.96433,582,1.98575
