spring_displacement,mag2,interpolated_tension
0,458,0
0.039968,458,0.0271783
0.0801045,458,0.053869
0.120379,459,0.0808579
0.160787,460,0.108119
0.201345,459,0.134914
0.242095,459,0.162624
0.283006,459,0.189784
0.324074,459,0.21737
0.365302,459,0.245099
0.406686,461,0.272547
0.448214,462,0.300786
0.489975,463,0.328383
0.531879,464,0.356678
0.573966,465,0.384818
0.616229,466,0.413036
0.658646,467,0.441706
0.701241,468,0.469844
0.74405,468,0.498954
0.787048,469,0.527452
0.830234,470,0.556559
0.873609,471,0.585582
0.917177,471,0.61468
0.960931,471,0.644214
1.00485,471,0.673301
1.04898,471,0.70331
1.09338,472,0.732633
1.13796,473,0.762811
1.18274,474,0.792605
1.22773,475,0.822855
1.27294,476,0.853139
1.31835,476,0.883479
1.36398,476,0.914225
1.40985,476,0.9447
1.45593,476,0.975911
1.50223,476,1.00652
1.54879,476,1.03818
1.5956,476,1.0691
1.64266,476,1.10101
1.68992,476,1.13235
1.73748,477,1.16448
1.78526,478,1.19627
1.8333,478,1.22864
1.88161,478,1.26086
1.93016,479,1.29351
1.97899,478,1.32613
2.0281,479,1.35911
2.07748,479,1.39213
2.12714,480,1.42546
2.1771,480,1.45889
2.22734,481,1.49259
2.27789,481,1.52641
2.32875,481,1.56055
2.37987,485,1.59471
2.43132,490,1.62867
2.48309,494,1.6635
2.53518,498,1.69892
2.58761,502,1.73382
2.64038,502,1.76946
2.69346,501,1.80469
2.7469,503,1.84089
2.8007,505,1.87648
2.8549,508,1.91324
2.90943,511,1.94922
2.96433,513,1.98575
