spring_displacement,mag2,interpolated_tension
0,354,0
0.039968,354,0.0271783
0.0801045,354,0.053869
0.120379,354,0.0808579
0.160787,355,0.108119
0.201345,355,0.134914
0.242095,356,0.162624
0.283006,356,0.189784
0.324074,356,0.21737
0.365302,357,0.245099
0.406686,358,0.272547
0.448214,358,0.300786
0.489975,359,0.328383
0.531879,360,0.356678
0.573966,361,0.384818
0.616229,361,0.413036
0.658646,362,0.441706
0.701241,363,0.469844
0.74405,364,0.498954
0.787048,366,0.527452
0.830234,366,0.556559
0.873609,366,0.585582
0.917177,368,0.61468
0.960931,369,0.644214
1.00485,370,0.673301
1.04898,371,0.70331
1.09338,372,0.732633
1.13796,373,0.762811
1.18274,374,0.792605
1.22773,375,0.822855
1.27294,376,0.853139
1.31835,378,0.883479
1.36398,379,0.914225
1.40985,380,0.9447
1.45593,382,0.975911
1.50223,383,1.00652
1.54879,384,1.03818
1.5956,385,1.0691
1.64266,387,1.10101
1.68992,387,1.13235
1.73748,388,1.16448
1.78526,390,1.19627
1.8333,391,1.22864
1.88161,393,1.26086
1.93016,395,1.29351
1.97899,395,1.32613
2.0281,396,1.35911
2.07748,398,1.39213
2.12714,399,1.42546
2.1771,400,1.45889
2.22734,402,1.49259
2.27789,402,1.52641
2.32875,402,1.56055
2.37987,403,1.59471
2.43132,405,1.62867
2.48309,406,1.6635
2.53518,408,1.69892
2.58761,409,1.73382
2.64038,411,1.76946
2.69346,411,1.80469
2.7469,412,1.84089
2.8007,415,1.87648
2.8549,417,1.91324
2.90943,418,1.94922
2.96433,420,1.98575
