dist_mm,mag_fit
0.0,2.3930178350997724
0.015631774834271108,2.377238516867635
0.031263549668542216,2.361563245868335
0.04689532450281332,2.3459913360249125
0.06252709933708443,2.330522105784332
0.07815887417135554,2.3151548780876494
0.09379064900562664,2.299888980340378
0.10942242383989775,2.284723744383052
0.12505419867416886,2.269658506461983
0.14068597350843998,2.2546926072002056
0.1563177483427111,2.2398253915686195
0.1719495231769822,2.2250562088573216
0.18758129801125328,2.210384412647124
0.2032130728455244,2.195809360781261
0.2188448476797955,2.181330415337284
0.23447662251406662,2.1669469425991412
0.25010839734833773,2.1526583130294403
0.2657401721826088,2.1384639012418947
0.28137194701687995,2.124363085973952
0.29700372185115104,2.1103552500596034
0.3126354966854222,2.096439780402369
0.32826727151969326,2.082616067948466
0.3438990463539644,2.068883507660151
0.3595308211882355,2.0552414984892375
0.37516259602250657,2.041689443350792
0.3907943708567777,2.028226749096997
0.4064261456910488,2.0148528264911922
0.42205792052531993,2.0015670901820855
0.437689695359591,1.9883689586781303
0.45332147019386215,1.9752578543220791
0.46895324502813324,1.9622332032656955
0.4845850198624044,1.9492944354446424
0.5002167946966755,1.9364409845535282
0.5158485695309466,1.9236722880211228
0.5314803443652176,1.9109877869857332
0.5471121191994888,1.8983869262707447
0.5627438940337599,1.8858691543603212
0.578375668868031,1.8734339233752657
0.5940074437023021,1.8610806890490423
0.6096392185365732,1.848808910703953
0.6252709933708444,1.8366180512274741
0.6409027682051154,1.8245075770487484
0.6565345430393865,1.8124769581152302
0.6721663178736577,1.8005256678694876
0.6877980927079288,1.7886531832261547
0.7034298675421998,1.776858984549038
0.719061642376471,1.7651425556283724
0.7346934172107421,1.7535033836582286
0.7503251920450131,1.7419409592140667
0.7659569668792843,1.7304547762304423
0.7815887417135554,1.7190443319788542
0.7972205165478266,1.7077091270457427
0.8128522913820976,1.6964486653106317
0.8284840662163687,1.6852624539244114
0.8441158410506399,1.6741500032877714
0.859747615884911,1.6631108270297683
0.875379390719182,1.6521444419865405
0.8910111655534532,1.6412503681801598
0.9066429403877243,1.630428128797624
0.9222747152219953,1.6196772501699883
0.9379064900562665,1.6089972617516322
0.9535382648905376,1.5983876960996661
0.9691700397248088,1.5878480888534723
0.9848018145590798,1.577377978714379
1.000433589393351,1.5669769074254714
1.016065364227622,1.5566444197515357
1.0316971390618932,1.5463800634591323
1.0473289138961643,1.5361833892968033
1.0629606887304353,1.5260539509754103
1.0785924635647064,1.5159913051485991
1.0942242383989775,1.505995011393398
1.1098560132332487,1.4960646321909392
1.1254877880675198,1.4861997329073107
1.141119562901791,1.476399881774532
1.156751337736062,1.4666646498716582
1.172383112570333,1.4569936111060042
1.1880148874046041,1.4473863421944988
1.2036466622388753,1.4378424226451552
1.2192784370731464,1.42836143473867
1.2349102119074176,1.418942963510137
1.2505419867416887,1.4095865967308876
1.2661737615759598,1.400291924890448
1.2818055364102308,1.391058541178614
1.297437311244502,1.381886041467648
1.313069086078773,1.3727740242945885
1.3287008609130442,1.363722090843682
1.3443326357473153,1.3547298449289242
1.3599644105815865,1.3457968929767228
1.3755961854158576,1.3369228440086691
1.3912279602501285,1.3281073096244271
1.4068597350843997,1.3193499039847332
1.4224915099186708,1.3106502437945085
1.438123284752942,1.3020079482860842
1.453755059587213,1.2934226392025345
1.4693868344214842,1.2848939407811224
1.4850186092557554,1.2764214797368505
1.5006503840900263,1.2680048852461272
1.5162821589242974,1.2596437889305334
1.5319139337585685,1.2513378248406999
1.5475457085928397,1.243086629440291
1.5631774834271108,1.2348898415900926
1.578809258261382,1.2267471025322074
1.594441033095653,1.2186580558743496
1.6100728079299242,1.2106223475742492
1.6257045827641952,1.2026396259241559
1.6413363575984663,1.1947095415354432
1.6569681324327374,1.1868317473233192
1.6725999072670086,1.1790058984916336
1.6882316821012797,1.1712316525177877
1.7038634569355509,1.1635086691377412
1.719495231769822,1.1558366103311217
1.735127006604093,1.1482151403064285
1.750758781438364,1.1406439254863359
1.7663905562726352,1.133122634493094
1.7820223311069063,1.1256509381340243
1.7976541059411775,1.118228509387111
1.8132858807754486,1.1108550233866892
1.8289176556097198,1.1035301574092253
1.8445494304439907,1.0962535908591917
1.8601812052782618,1.089025005255036
1.875812980112533,1.0818440842152404
1.891444754946804,1.0747105134444754
1.9070765297810752,1.0676239807198427
1.9227083046153464,1.060584175877211
1.9383400794496175,1.0535907907976394
1.9539718542838884,1.0466435193938926
1.9696036291181596,1.0397420575970433
1.9852354039524307,1.032886103343164
2.000867178786702,1.026075356560107
2.0164989536209728,1.0193095191543695
2.032130728455244,1.0125882949980467
2.047762503289515,1.0059113899158725
2.0633942781237864,0.9992785116723418
2.0790260529580573,0.9926893699589218
2.0946578277923287,0.9861436763813439
2.1102896026265996,0.9796411444469832
2.1259213774608705,0.9731814895523179
2.141553152295142,0.9667644289704725
2.157184927129413,0.9603896818388452
2.172816701963684,0.9540569691468128
2.188448476797955,0.9477660137235207
2.2040802516322264,0.9415165402257505
2.2197120264664973,0.9353082751258693
2.2353438013007683,0.9291409466998584
2.2509755761350396,0.9230142850154187
2.2666073509693105,0.9169280219201587
2.282239125803582,0.9108818910298558
2.297870900637853,0.9048756277167989
2.313502675472124,0.8989089690982044
2.329134450306395,0.8929816540247121
2.344766225140666,0.8870934230689538
2.3603979999749374,0.8812440185141994
2.3760297748092083,0.8754331843430773
2.3916615496434797,0.8696606662263674
2.4072933244777506,0.8639262115118727
2.422925099312022,0.8582295692133575
2.438556874146293,0.8525704899995652
2.4541886489805638,0.8469487261833036
2.469820423814835,0.8413640317106056
2.485452198649106,0.8358161621499586
2.5010839734833774,0.8303048746816065
2.5167157483176483,0.8248299280869235
2.5323475231519197,0.8193910827378532
2.5479792979861906,0.8139881005864241
2.5636110728204615,0.8086207451543277
2.579242847654733,0.8032887815225705
2.594874622489004,0.7979919763211912
2.610506397323275,0.7927300977190457
2.626138172157546,0.7875029154136615
2.6417699469918174,0.7823102006211577
2.6574017218260884,0.777151726066231
2.6730334966603593,0.772027265972208
2.6886652714946306,0.7669365960511648
2.7042970463289016,0.7618794934941091
2.719928821163173,0.7568557369612281
2.735560595997444,0.7518651065722022
2.751192370831715,0.7469073838965798
2.766824145665986,0.7419823519442186
2.782455920500257,0.7370897951557861
2.7980876953345284,0.7322294993933272
2.8137194701687993,0.7274012519308907
2.8293512450030707,0.7226048414452187
2.8449830198373416,0.7178400580064977
2.860614794671613,0.7131066930691704
2.876246569505884,0.7084045394628075
2.891878344340155,0.7037333913830406
2.907510119174426,0.6990930443825548
2.923141894008697,0.6944832953621403
2.9387736688429684,0.6899039425618023
2.9544054436772393,0.6853547855519321
2.9700372185115107,0.6808356252245327
2.9856689933457816,0.6763462637845057
3.0013007681800525,0.6718865047409932
3.016932543014324,0.6674561528987786
3.032564317848595,0.6630550143497429
3.048196092682866,0.6586828964643772
3.063827867517137,0.6543396078833524
3.0794596423514085,0.6500249585091438
3.0950914171856794,0.6457387594977103
3.1107231920199503,0.6414808232502294
