spring_displacement,mag2,interpolated_tension
0,439,0
0.0376506,439,0.0256024
0.075416,438,0.0507746
0.113298,439,0.0760426
0.151297,439,0.101856
0.189436,439,0.127027
0.227722,439,0.152851
0.266128,439,0.178644
0.304644,439,0.204158
0.343344,439,0.230474
0.382168,439,0.256231
0.421116,439,0.282359
0.460196,440,0.308729
0.499412,441,0.334612
0.53881,443,0.361391
0.578345,445,0.387708
0.618019,447,0.414253
0.657827,448,0.441166
0.697764,448,0.467524
0.737912,448,0.49478
0.778185,448,0.521602
0.818613,450,0.548657
0.859202,451,0.576073
0.899919,453,0.602946
0.940835,455,0.630768
0.981908,456,0.658059
1.02312,457,0.685723
1.06449,458,0.713566
1.10605,458,0.741112
1.14775,459,0.769469
1.18968,460,0.79719
1.23176,462,0.825597
1.27401,463,0.853843
1.31643,465,0.882169
1.35902,466,0.910956
1.4018,466,0.939227
1.44476,466,0.968436
1.48794,467,0.997042
1.53129,468,1.02628
1.57483,469,1.05538
1.61855,470,1.08462
1.66248,472,1.11424
1.7066,473,1.14349
1.75089,473,1.17359
1.79541,474,1.20297
1.84019,474,1.23333
1.88515,474,1.2632
1.93029,474,1.2936
1.97566,474,1.32394
2.02125,474,1.35445
2.06707,475,1.38526
2.11312,475,1.41592
2.15938,476,1.44719
2.20584,476,1.47797
2.25258,476,1.5097
2.29953,475,1.54069
2.34674,476,1.57278
2.39421,477,1.60418
2.44193,476,1.63567
2.48988,477,1.66812
2.53808,478,1.70089
2.58655,478,1.73313
2.63527,478,1.76598
2.68428,479,1.79863
2.73356,479,1.83182
2.78309,479,1.86484
2.83292,479,1.89838
2.88303,480,1.9318
2.93343,480,1.96507
2.98411,480,1.9992
