spring_displacement,mag2,interpolated_tension
0,230,0
0.0376506,230,0.0256024
0.075416,230,0.0507746
0.113298,230,0.0760426
0.151297,230,0.101856
0.189436,230,0.127027
0.227722,230,0.152851
0.266128,230,0.178644
0.304644,230,0.204158
0.343344,230,0.230474
0.382168,230,0.256231
0.421116,230,0.282359
0.460196,230,0.308729
0.499412,231,0.334612
0.53881,232,0.361391
0.578345,233,0.387708
0.618019,234,0.414253
0.657827,235,0.441166
0.697764,235,0.467524
0.737912,235,0.49478
0.778185,234,0.521602
0.818613,235,0.548657
0.859202,236,0.576073
0.899919,237,0.602946
0.940835,238,0.630768
0.981908,239,0.658059
1.02312,240,0.685723
1.06449,240,0.713566
1.10605,241,0.741112
1.14775,240,0.769469
1.18968,241,0.79719
1.23176,241,0.825597
1.27401,241,0.853843
1.31643,242,0.882169
1.35902,243,0.910956
1.4018,244,0.939227
1.44476,245,0.968436
1.48794,246,0.997042
1.53129,246,1.02628
1.57483,246,1.05538
1.61855,247,1.08462
1.66248,247,1.11424
1.7066,248,1.14349
1.75089,249,1.17359
1.79541,250,1.20297
1.84019,251,1.23333
1.88515,252,1.2632
1.93029,253,1.2936
1.97566,254,1.32394
2.02125,256,1.35445
2.06707,256,1.38526
2.11312,256,1.41592
2.15938,256,1.44719
2.20584,256,1.47797
2.25258,256,1.5097
2.29953,257,1.54069
2.34674,258,1.57278
2.39421,259,1.60418
2.44193,260,1.63567
2.48988,260,1.66812
2.53808,260,1.70089
2.58655,259,1.73313
2.63527,261,1.76598
2.68428,262,1.79863
2.73356,264,1.83182
2.78309,266,1.86484
2.83292,268,1.89838
2.88303,268,1.9318
2.93343,269,1.96507
2.98411,270,1.9992
