spring_displacement,mag2,interpolated_tension
0,279,0
0.0376506,279,0.0256024
0.075416,279,0.0507746
0.113298,279,0.0760426
0.151297,279,0.101856
0.189436,280,0.127027
0.227722,280,0.152851
0.266128,280,0.178644
0.304644,280,0.204158
0.343344,280,0.230474
0.382168,280,0.256231
0.421116,280,0.282359
0.460196,281,0.308729
0.499412,281,0.334612
0.53881,282,0.361391
0.578345,283,0.387708
0.618019,284,0.414253
0.657827,284,0.441166
0.697764,284,0.467524
0.737912,283,0.49478
0.778185,284,0.521602
0.818613,283,0.548657
0.859202,285,0.576073
0.899919,286,0.602946
0.940835,287,0.630768
0.981908,288,0.658059
1.02312,290,0.685723
1.06449,291,0.713566
1.10605,291,0.741112
1.14775,292,0.769469
1.18968,292,0.79719
1.23176,292,0.825597
1.27401,294,0.853843
1.31643,295,0.882169
1.35902,296,0.910956
1.4018,297,0.939227
1.44476,298,0.968436
1.48794,298,0.997042
1.53129,298,1.02628
1.57483,299,1.05538
1.61855,300,1.08462
1.66248,301,1.11424
1.7066,303,1.14349
1.75089,305,1.17359
1.79541,306,1.20297
1.84019,307,1.23333
1.88515,308,1.2632
1.93029,310,1.2936
1.97566,310,1.32394
2.02125,311,1.35445
2.06707,311,1.38526
2.11312,310,1.41592
2.15938,312,1.44719
2.20584,311,1.47797
2.25258,312,1.5097
2.29953,314,1.54069
2.34674,316,1.57278
2.39421,315,1.60418
2.44193,318,1.63567
2.48988,318,1.66812
2.53808,318,1.70089
2.58655,319,1.73313
2.63527,321,1.76598
2.68428,323,1.79863
2.73356,325,1.83182
2.78309,328,1.86484
2.83292,329,1.89838
2.88303,330,1.9318
2.93343,331,1.96507
2.98411,333,1.9992
