spring_displacement,mag2,interpolated_tension
0,360,0
0.0376506,360,0.0256024
0.075416,360,0.0507746
0.113298,360,0.0760426
0.151297,360,0.101856
0.189436,360,0.127027
0.227722,359,0.152851
0.266128,359,0.178644
0.304644,360,0.204158
0.343344,360,0.230474
0.382168,361,0.256231
0.421116,362,0.282359
0.460196,362,0.308729
0.499412,364,0.334612
0.53881,365,0.361391
0.578345,365,0.387708
0.618019,365,0.414253
0.657827,367,0.441166
0.697764,367,0.467524
0.737912,369,0.49478
0.778185,370,0.521602
0.818613,371,0.548657
0.859202,372,0.576073
0.899919,372,0.602946
0.940835,372,0.630768
0.981908,374,0.658059
1.02312,376,0.685723
1.06449,377,0.713566
1.10605,379,0.741112
1.14775,381,0.769469
1.18968,382,0.79719
1.23176,382,0.825597
1.27401,380,0.853843
1.31643,381,0.882169
1.35902,381,0.910956
1.4018,381,0.939227
1.44476,383,0.968436
1.48794,387,0.997042
1.53129,388,1.02628
1.57483,389,1.05538
1.61855,390,1.08462
1.66248,391,1.11424
1.7066,392,1.14349
1.75089,392,1.17359
1.79541,393,1.20297
1.84019,395,1.23333
1.88515,396,1.2632
1.93029,398,1.2936
1.97566,399,1.32394
2.02125,400,1.35445
2.06707,401,1.38526
2.11312,401,1.41592
2.15938,401,1.44719
2.20584,401,1.47797
2.25258,404,1.5097
2.29953,406,1.54069
2.34674,408,1.57278
2.39421,410,1.60418
2.44193,412,1.63567
2.48988,411,1.66812
2.53808,411,1.70089
2.58655,413,1.73313
2.63527,415,1.76598
2.68428,417,1.79863
2.73356,419,1.83182
2.78309,421,1.86484
2.83292,420,1.89838
2.88303,422,1.9318
2.93343,423,1.96507
2.98411,426,1.9992
