spring_displacement,mag2,interpolated_tension
0,214,0
0.0355872,215,0.0241993
0.07125,215,0.048025
0.106999,214,0.0717595
0.142893,215,0.0961673
0.17889,215,0.120068
0.214989,215,0.144193
0.251199,216,0.168791
0.287536,216,0.192774
0.323978,216,0.217305
0.360521,217,0.241944
0.397177,217,0.266137
0.433959,217,0.291092
0.470858,217,0.315766
0.507869,217,0.340351
0.544989,217,0.365592
0.582252,218,0.390286
0.619625,219,0.415345
0.657111,219,0.440693
0.694733,219,0.465524
0.732502,219,0.491101
0.770387,219,0.516456
0.808384,221,0.541701
0.846494,222,0.567616
0.884789,223,0.592961
0.923192,225,0.618771
0.961708,226,0.644727
1.00035,226,0.670237
1.03914,226,0.696614
1.07808,226,0.722534
1.11715,226,0.748662
1.15634,227,0.775183
1.19571,228,0.801168
1.23522,228,0.827948
1.27486,229,0.854408
1.31463,230,0.880951
1.35453,228,0.90799
1.39463,228,0.934454
1.43486,229,0.961707
1.47524,230,0.98866
1.51577,231,1.01573
1.55645,233,1.04326
1.5973,234,1.07022
1.63831,235,1.09805
1.6795,236,1.12547
1.72084,237,1.15317
1.76231,238,1.18113
1.80393,239,1.20867
1.84577,238,1.23713
1.88777,238,1.26493
1.92997,240,1.29338
1.97231,241,1.32172
2.0148,242,1.35007
2.0575,243,1.37895
2.10039,244,1.40726
2.14345,243,1.43655
2.18671,243,1.46523
2.23013,242,1.49449
2.27375,242,1.52368
2.31757,245,1.55295
2.36157,247,1.58264
2.40577,249,1.61181
2.45013,251,1.64109
2.49474,253,1.67142
2.53955,253,1.7019
2.58458,253,1.73182
2.6298,253,1.76226
2.67525,253,1.79267
2.72091,254,1.82322
2.76676,255,1.85406
2.81286,256,1.88474
2.85916,257,1.91605
2.9057,258,1.94676
2.95244,255,1.97766
2.99944,255,2.00962
