spring_displacement,mag2,interpolated_tension
0,261,0
0.039968,261,0.0271783
0.0801045,261,0.053869
0.120379,261,0.0808579
0.160787,261,0.108119
0.201345,261,0.134914
0.242095,263,0.162624
0.282979,263,0.189766
0.324033,264,0.217342
0.365261,264,0.245072
0.406645,265,0.272518
0.448173,264,0.300757
0.489933,264,0.328356
0.531837,263,0.356649
0.573904,264,0.384777
0.616144,265,0.412978
0.65856,265,0.44165
0.701155,265,0.469785
0.743926,267,0.49887
0.786919,267,0.527367
0.830078,268,0.556453
0.873435,269,0.585467
0.916987,270,0.614551
0.960711,271,0.644069
1.00463,271,0.673151
1.04876,271,0.70316
1.09312,272,0.732461
1.13766,273,0.762606
1.18242,274,0.792398
1.22739,274,0.822623
1.27255,275,0.852886
1.31794,275,0.8832
1.36355,276,0.913945
1.40938,277,0.944381
1.45542,278,0.975575
1.50172,278,1.00617
1.54823,279,1.0378
1.595,280,1.0687
1.642,280,1.10056
1.68926,281,1.13191
1.73674,282,1.16398
1.7845,282,1.19577
1.8325,283,1.2281
1.88075,283,1.2603
1.92925,283,1.29289
1.97803,284,1.3255
2.02709,284,1.35842
2.07641,285,1.39143
2.12602,285,1.42469
2.1759,287,1.45809
2.22608,288,1.49174
2.27657,289,1.52554
2.32734,290,1.55959
2.3784,291,1.59375
2.42979,290,1.62766
2.4815,290,1.66242
2.53352,291,1.6978
2.58585,292,1.73266
2.6385,293,1.76818
2.69151,295,1.80339
2.74487,296,1.83951
2.79855,296,1.87504
2.85261,298,1.91172
2.90706,299,1.94766
2.96189,300,1.98409
