spring_displacement,mag2,interpolated_tension
0,352,0
0.039968,352,0.0271783
0.0801045,352,0.053869
0.120379,353,0.0808579
0.160787,353,0.108119
0.201345,353,0.134914
0.242095,353,0.162624
0.282979,353,0.189766
0.324033,355,0.217342
0.365261,355,0.245072
0.406645,356,0.272518
0.448173,356,0.300757
0.489933,357,0.328356
0.531837,357,0.356649
0.573904,356,0.384777
0.616144,357,0.412978
0.65856,358,0.44165
0.701155,359,0.469785
0.743926,360,0.49887
0.786919,361,0.527367
0.830078,361,0.556453
0.873435,363,0.585467
0.916987,364,0.614551
0.960711,365,0.644069
1.00463,366,0.673151
1.04876,367,0.70316
1.09312,368,0.732461
1.13766,369,0.762606
1.18242,370,0.792398
1.22739,371,0.822623
1.27255,372,0.852886
1.31794,372,0.8832
1.36355,372,0.913945
1.40938,374,0.944381
1.45542,375,0.975575
1.50172,376,1.00617
1.54823,378,1.0378
1.595,379,1.0687
1.642,379,1.10056
1.68926,378,1.13191
1.73674,379,1.16398
1.7845,379,1.19577
1.8325,379,1.2281
1.88075,380,1.2603
1.92925,382,1.29289
1.97803,384,1.3255
2.02709,386,1.35842
2.07641,388,1.39143
2.12602,390,1.42469
2.1759,389,1.45809
2.22608,391,1.49174
2.27657,392,1.52554
2.32734,394,1.55959
2.3784,395,1.59375
2.42979,397,1.62766
2.4815,397,1.66242
2.53352,399,1.6978
2.58585,401,1.73266
2.6385,403,1.76818
2.69151,405,1.80339
2.74487,407,1.83951
2.79855,407,1.87504
2.85261,410,1.91172
2.90706,410,1.94766
2.96189,410,1.98409
