spring_displacement,mag2,interpolated_tension
0,514,0
0.039968,513,0.0271783
0.0801045,512,0.053869
0.120379,512,0.0808579
0.160787,511,0.108119
0.201345,511,0.134914
0.242095,511,0.162624
0.282979,511,0.189766
0.324033,513,0.217342
0.365261,515,0.245072
0.406645,517,0.272518
0.448173,519,0.300757
0.489933,521,0.328356
0.531837,521,0.356649
0.573904,522,0.384777
0.616144,523,0.412978
0.65856,525,0.44165
0.701155,526,0.469785
0.743926,527,0.49887
0.786919,528,0.527367
0.830078,528,0.556453
0.873435,528,0.585467
0.916987,530,0.614551
0.960711,532,0.644069
1.00463,535,0.673151
1.04876,537,0.70316
1.09312,539,0.732461
1.13766,539,0.762606
1.18242,540,0.792398
1.22739,540,0.822623
1.27255,541,0.852886
1.31794,541,0.8832
1.36355,544,0.913945
1.40938,547,0.944381
1.45542,550,0.975575
1.50172,553,1.00617
1.54823,555,1.0378
1.595,555,1.0687
1.642,555,1.10056
1.68926,558,1.13191
1.73674,560,1.16398
1.7845,562,1.19577
1.8325,564,1.2281
1.88075,566,1.2603
1.92925,566,1.29289
1.97803,569,1.3255
2.02709,572,1.35842
2.07641,574,1.39143
2.12602,578,1.42469
2.1759,581,1.45809
2.22608,580,1.49174
2.27657,580,1.52554
2.32734,581,1.55959
2.3784,581,1.59375
2.42979,584,1.62766
2.4815,587,1.66242
2.53352,590,1.6978
2.58585,593,1.73266
2.6385,596,1.76818
2.69151,595,1.80339
2.74487,595,1.83951
2.79855,594,1.87504
2.85261,595,1.91172
2.90706,595,1.94766
2.96189,598,1.98409
