spring_displacement,mag2,interpolated_tension
0,327,0
0.039968,326,0.0271783
0.0801045,327,0.053869
0.120379,327,0.0808579
0.160787,327,0.108119
0.201345,326,0.134914
0.242095,327,0.162624
0.282979,327,0.189766
0.324033,328,0.217342
0.365261,329,0.245072
0.406645,329,0.272518
0.448173,329,0.300757
0.489933,329,0.328356
0.531837,330,0.356649
0.573904,332,0.384777
0.616144,332,0.412978
0.65856,333,0.44165
0.701155,334,0.469785
0.743926,334,0.49887
0.786919,334,0.527367
0.830078,335,0.556453
0.873435,336,0.585467
0.916987,337,0.614551
0.960711,338,0.644069
1.00463,338,0.673151
1.04876,339,0.70316
1.09312,340,0.732461
1.13766,341,0.762606
1.18242,341,0.792398
1.22739,342,0.822623
1.27255,342,0.852886
1.31794,343,0.8832
1.36355,344,0.913945
1.40938,346,0.944381
1.45542,347,0.975575
1.50172,349,1.00617
1.54823,349,1.0378
1.595,349,1.0687
1.642,349,1.10056
1.68926,349,1.13191
1.73674,349,1.16398
1.7845,350,1.19577
1.8325,351,1.2281
1.88075,353,1.2603
1.92925,354,1.29289
1.97803,355,1.3255
2.02709,357,1.35842
2.07641,357,1.39143
2.12602,359,1.42469
2.1759,361,1.45809
2.22608,362,1.49174
2.27657,363,1.52554
2.32734,364,1.55959
2.3784,364,1.59375
2.42979,364,1.62766
2.4815,366,1.66242
2.53352,368,1.6978
2.58585,370,1.73266
2.6385,372,1.76818
2.69151,373,1.80339
2.74487,371,1.83951
2.79855,371,1.87504
2.85261,371,1.91172
2.90706,374,1.94766
2.96189,375,1.98409
