spring_displacement,mag2,interpolated_tension
0,445,0
0.039968,444,0.0271783
0.0801045,445,0.053869
0.120379,445,0.0808579
0.160787,445,0.108119
0.201345,445,0.134914
0.242095,445,0.162624
0.282979,446,0.189766
0.324033,446,0.217342
0.365261,447,0.245072
0.406645,447,0.272518
0.448173,447,0.300757
0.489933,447,0.328356
0.531837,448,0.356649
0.573904,449,0.384777
0.616144,450,0.412978
0.65856,450,0.44165
0.701155,451,0.469785
0.743926,452,0.49887
0.786919,452,0.527367
0.830078,453,0.556453
0.873435,454,0.585467
0.916987,455,0.614551
0.960711,456,0.644069
1.00463,457,0.673151
1.04876,458,0.70316
1.09312,459,0.732461
1.13766,460,0.762606
1.18242,459,0.792398
1.22739,459,0.822623
1.27255,460,0.852886
1.31794,461,0.8832
1.36355,462,0.913945
1.40938,464,0.944381
1.45542,465,0.975575
1.50172,465,1.00617
1.54823,475,1.0378
1.595,476,1.0687
1.642,477,1.10056
1.68926,478,1.13191
1.73674,479,1.16398
1.7845,471,1.19577
1.8325,472,1.2281
1.88075,474,1.2603
1.92925,475,1.29289
1.97803,476,1.3255
2.02709,478,1.35842
2.07641,478,1.39143
2.12602,478,1.42469
2.1759,478,1.45809
2.22608,479,1.49174
2.27657,479,1.52554
2.32734,480,1.55959
2.3784,481,1.59375
2.42979,482,1.62766
2.4815,482,1.66242
2.53352,482,1.6978
2.58585,482,1.73266
2.6385,482,1.76818
2.69151,483,1.80339
2.74487,483,1.83951
2.79855,484,1.87504
2.85261,484,1.91172
2.90706,484,1.94766
2.96189,484,1.98409
