spring_displacement,mag2,interpolated_tension
0,186,0
0.039968,186,0.0271783
0.0801045,186,0.053869
0.120379,186,0.0808579
0.160787,186,0.108119
0.201345,186,0.134914
0.242095,187,0.162624
0.282979,187,0.189766
0.324033,187,0.217342
0.365261,187,0.245072
0.406645,187,0.272518
0.448173,186,0.300757
0.489933,186,0.328356
0.531837,186,0.356649
0.573904,186,0.384777
0.616144,186,0.412978
0.65856,186,0.44165
0.701155,186,0.469785
0.743926,186,0.49887
0.786919,186,0.527367
0.830078,187,0.556453
0.873435,187,0.585467
0.916987,186,0.614551
0.960711,186,0.644069
1.00463,186,0.673151
1.04876,186,0.70316
1.09312,186,0.732461
1.13766,185,0.762606
1.18242,185,0.792398
1.22739,185,0.822623
1.27255,185,0.852886
1.31794,185,0.8832
1.36355,186,0.913945
1.40938,186,0.944381
1.45542,186,0.975575
1.50172,186,1.00617
1.54823,187,1.0378
1.595,187,1.0687
1.642,187,1.10056
1.68926,187,1.13191
1.73674,188,1.16398
1.7845,186,1.19577
1.8325,186,1.2281
1.88075,186,1.2603
1.92925,186,1.29289
1.97803,186,1.3255
2.02709,186,1.35842
2.07641,187,1.39143
2.12602,187,1.42469
2.1759,188,1.45809
2.22608,189,1.49174
2.27657,189,1.52554
2.32734,189,1.55959
2.3784,193,1.59375
2.42979,193,1.62766
2.4815,193,1.66242
2.53352,193,1.6978
2.58585,191,1.73266
2.6385,189,1.76818
2.69151,189,1.80339
2.74487,190,1.83951
2.79855,190,1.87504
2.85261,192,1.91172
2.90706,193,1.94766
2.96189,193,1.98409
