spring_displacement,mag2,interpolated_tension
0,322,0
0.039968,322,0.0271783
0.0801045,322,0.053869
0.120379,322,0.0808579
0.160787,322,0.108119
0.201345,321,0.134914
0.242095,321,0.162624
0.282979,321,0.189766
0.324033,321,0.217342
0.365261,322,0.245072
0.406645,322,0.272518
0.448173,322,0.300757
0.489933,322,0.328356
0.531837,323,0.356649
0.573904,323,0.384777
0.616144,324,0.412978
0.65856,324,0.44165
0.701155,324,0.469785
0.743926,325,0.49887
0.786919,325,0.527367
0.830078,326,0.556453
0.873435,327,0.585467
0.916987,327,0.614551
0.960711,327,0.644069
1.00463,327,0.673151
1.04876,327,0.70316
1.09312,327,0.732461
1.13766,328,0.762606
1.18242,329,0.792398
1.22739,330,0.822623
1.27255,331,0.852886
1.31794,331,0.8832
1.36355,332,0.913945
1.40938,333,0.944381
1.45542,333,0.975575
1.50172,334,1.00617
1.54823,335,1.0378
1.595,335,1.0687
1.642,336,1.10056
1.68926,337,1.13191
1.73674,336,1.16398
1.7845,337,1.19577
1.8325,337,1.2281
1.88075,338,1.2603
1.92925,339,1.29289
1.97803,341,1.3255
2.02709,342,1.35842
2.07641,343,1.39143
2.12602,343,1.42469
2.1759,343,1.45809
2.22608,344,1.49174
2.27657,344,1.52554
2.32734,345,1.55959
2.3784,347,1.59375
2.42979,349,1.62766
2.4815,350,1.66242
2.53352,351,1.6978
2.58585,352,1.73266
2.6385,354,1.76818
2.69151,353,1.80339
2.74487,353,1.83951
2.79855,355,1.87504
2.85261,356,1.91172
2.90706,357,1.94766
2.96189,358,1.98409
